Zeit t / s;Rate R_B1 / 1/s
5;222
10,201;190,4
15,4;164,4
20,6;149,8
25,8;130,4
31;118,4
36,2;103,2
41,4;86,6
46,6;74,8
51,8;61,4
57;57,8
62,2;52,8
67,4;47,8
72,6;41
77,801;38,4
83;32
88,199;34,6
93,399;25,8
98,599;23,6
103,8;19
108,999;18,6
114,2;17,4
119,403;16,4
124,597;15
129,796;14,8
135,005;10,6
140,204;13,2
145,404;11,4
150,605;11,4
155,8;7,2
161;10,4
166,2;7,6
171,4;8,8
176,6;7,4
181,799;6,4
187;7,2
192,2;9,6
197,308;4,4
202,505;8
207,707;5,4
212,9;5,8
218,012;5,8
223,204;5,6
228,395;5,4
233,609;4,6
238,798;4,2
243,905;5,4
249,105;5,2
254,302;3,2
259,414;5,6
264,606;2,6
269,808;4,4
274,996;3,8
280,114;3
285,299;2
290,5;4,8
295,7;5,4
300,9;4
306,099;2,8
311,3;4,2
316,5;3,6
321,7;3,4
326,899;4
332,1;4,2
337,3;4,2
342,5;3,6
347,7;2
352,9;3,2
358,1;2,4
363,3;2,6
368,5;2,8
373,7;3,2
378,901;1,8
384,1;2,6
389,3;2,2
394,5;2,8
399,699;3,2
