Zeit t / s;Rate R_B1 / 1/s
5,1;355,8
10,3;310,6
15,5;284,6
20,7;241,8
25,9;211,8
31,1;196,8
36,301;167,4
41,5;149
46,7;136,2
51,899;117
57,099;113,4
62,3;103,6
67,5;88,8
72,702;80,4
77,901;70
83,099;61,4
88,301;59,8
93,5;50,6
98,7;53,2
103,901;44,8
109,1;35
114,201;35,2
119,401;31,6
124,6;35
129,801;28,8
135;27,8
140,2;24,6
145,401;27
150,601;25,2
155,801;24,2
161,001;21,6
166,2;18,6
171,4;23
176,6;19
181,801;16,8
187;14,8
192,2;17,8
197,4;17,4
202,601;13,6
207,8;18,2
213,001;15,2
218,2;16,8
223,401;12,8
228,6;13,2
233,8;14,6
239;13,6
244,2;12
249,401;13
254,601;11,4
259,8;11,8
265;9,6
270,2;14,6
275,4;14
280,6;10,2
285,801;10,2
291;9,8
296,2;9,2
301,4;11,6
306,601;7,6
311,8;8,8
317,001;8
322,2;9,8
327,4;8,8
332,6;9
337,801;8,6
343;7,8
348,2;8,8
353,401;7,2
358,601;9
363,801;9,2
369,001;6
374,101;8,6
379,3;8,4
384,5;7
389,701;8
394,901;7
