Zeit t / s;Rate R_B1 / 1/s
5;340,6
10,2;311,8
15,4;274,8
20,6;235,6
25,801;216,4
31,001;190,8
36,2;151,4
41,4;139,2
46,6;132,6
51,8;108
57;98,2
62,2;89,2
67,4;79,8
72,6;68,2
77,8;68
83;57
88,198;49,8
93,4;44,8
98,6;43,6
103,8;38,6
109,001;37,6
114,2;27,8
119,4;31
124,6;29,6
129,8;25,6
135,001;22
140,2;24,2
145,4;24,2
150,599;20,6
155,799;17,2
161;16,6
166,2;17,8
171,4;16,2
176,6;17,2
181,8;15,8
187;16,2
192,2;11,8
197,4;12,6
202,6;14,2
207,8;14,2
212,9;11,6
218,101;11,8
223,3;11,4
228,4;12
233,6;9,4
238,8;9,8
244;9,8
249,201;10,2
254,4;10,4
259,599;9,2
264,8;9,8
270;8
275,199;9,2
280,4;9,8
285,6;7,8
290,8;6,8
296;8,2
301,199;8,2
306,4;8,6
311,599;6,4
316,801;7,6
322;7
327,2;5,8
332,402;6,6
337,6;8,4
342,8;7
348;5,4
353,201;6
358,399;6,8
363,6;5,8
368,8;6,4
374,001;6,2
379,2;6,4
384,399;5,4
389,6;5,2
394,8;6
399,999;6,4
