Zeit t / s;Rate R_B1 / 1/s
4,999;169,6
10,199;152,8
15,4;130,2
20,599;104,4
25,8;100
30,999;86,2
36,2;70,4
41,4;70,2
46,599;57
51,799;55,8
56,999;47,4
62,199;41,8
67,399;36,8
72,601;31,6
77,8;28,6
83,001;23,2
88,199;18,4
93,4;21,8
98,6;20,6
103,8;15,2
109;14,2
114,2;13,4
119,399;9,2
124,6;10,4
129,8;10,6
135;9,6
140,2;9,2
145,4;9,4
150,6;6,4
155,8;7,4
161,001;7
166,2;7,6
171,399;5,2
176,501;4,4
181,6;5,8
186,699;5,6
191,899;5
197,099;5,4
202,3;4,8
207,499;4,8
212,7;4
217,9;4
223,1;4,4
228,3;2,6
233,499;3,6
238,7;3,8
243,9;2,8
249,1;2,2
254,299;3,4
259,499;3,2
264,699;3,4
269,9;4,2
275,099;3,6
280,3;3,4
285,499;2,6
290,699;2,8
295,9;2,4
301,1;3,2
306,3;3
311,5;3,4
316,7;3,2
321,9;2,2
327,1;1,4
332,301;4,2
337,501;3
342,7;4
347,9;2,2
353,1;3,6
358,3;3
363,5;3,8
368,701;1,2
373,9;2,4
379,1;2,2
384,3;2
389,5;2,2
394,7;1
399,9;3,6
