Zeit t / s;Rate R_B1 / 1/s
5,001;400,2
10,2;362,8
15,4;324,2
20,601;283,4
25,8;252,2
31,001;225,2
36,201;212,2
41,401;193,2
46,6;162
51,8;152,2
57;134,4
62,2;124
67,401;117,2
72,6;105,8
77,801;93,2
83,006;82,4
88,196;90
93,4;75
98,597;72,8
103,8;68,2
109;61,2
114,118;54,8
119,308;57,4
124,496;49,8
129,707;54
134,903;51,4
140,104;43,8
145,299;47,6
150,496;41,6
155,71;39
160,809;37,8
166,006;39,4
171,198;38,8
176,408;33,2
181,6;35
186,794;35,8
192,002;33,2
197,206;33,8
202,4;33,4
207,6;33,4
212,703;25,2
217,901;26,6
223,101;27
228,3;28,8
233,401;25,8
238,601;29
243,801;23,8
249;25,4
254,2;28,6
259,401;22,6
264,6;20,8
269,8;23,4
275;20
280,2;17,8
285,4;22,4
290,6;21,2
295,8;19,4
301;22,4
306,108;19,2
311,302;18
316,5;17,6
321,698;17,4
326,901;14,8
332;16
337,107;17,8
342,308;19
347,494;15,4
352,614;16,6
357,809;12
362,995;14
368,205;17,2
373,398;9,6
378,6;15,2
383,8;9,4
389,001;13,8
394,199;13,2
399,4;12
