Zeit t / s;Rate R_B1 / 1/s
5,101;108,6
10,3;105,6
15,5;84,6
20,7;79,4
25,901;68,6
31,1;52,2
36,3;46
41,501;44,2
46,7;32,8
51,9;34,2
57,1;31,2
62,302;22,2
67,501;24,2
72,701;20,2
77,9;17,8
83,1;14,2
88,3;14
93,401;13,2
98,601;10,6
103,8;9
109;7,4
114,202;7,8
119,401;8
124,6;6,6
129,801;6,4
135;7
140,2;4,4
145,4;3,8
150,601;4,2
155,8;5,8
161;5,8
166,201;5,8
171,401;4,4
176,6;3,2
181,801;3,8
187;5
192,2;4,8
197,4;3,6
202,601;2,4
207,8;3,2
213;3,8
218,2;1,4
223,4;3,2
228,6;2,8
233,8;2,6
239;3,4
244,201;4,4
249,399;2,6
254,6;2,4
259,801;2,2
265,001;2,4
270,2;1,2
275,399;3,2
280,6;1,8
285,8;2,4
291,001;1,2
296,2;3,2
301,4;2
306,6;2,4
311,801;2,2
317;2
322,201;2,2
327,404;1,2
332,6;1,8
337,8;1,6
343;2,2
348,2;1,8
353,4;2,2
358,6;1,8
363,801;2,6
368,9;1,4
374,1;0,8
379,3;1,6
384,5;2,6
389,7;1,8
394,9;2,2
