Zeit t / s;Rate R_B1 / 1/s
5,099;300,2
10,3;269,4
15,4;244,8
20,501;209,2
25,701;179,8
30,9;157,8
36,1;144
41,301;126,4
46,4;102,6
51,6;99,8
56,8;89
62,001;74,6
67,2;63,2
72,4;60,2
77,601;53
82,8;46,8
88,001;42
93,2;34
98,4;30,8
103,6;33
108,801;28,6
114,001;28,4
119,2;26,8
124,401;26,4
129,6;19,2
134,801;16
140;14,8
145,2;13,4
150,401;16,8
155,601;17,6
160,801;9,8
166,001;14,8
171,201;12,8
176,4;11,8
181,6;12,8
186,8;9,6
192;11,6
197,201;8,8
202,4;11,2
207,6;9,4
212,801;8,4
218;11
223,201;8,8
228,4;7,2
233,601;7,8
238,8;9,6
244;9,8
249,2;8,4
254,4;7,6
259,6;6,4
264,8;7
270;6,6
275,2;8,2
280,4;4,2
285,599;7,8
290,8;6,6
295,901;7,6
301,001;7,4
306,201;6
311,301;5,8
316,5;6,8
321,7;7,6
326,9;4,4
332,1;5,6
337,301;6,8
342,5;4,2
347,701;4,6
352,901;4,8
358,1;4,4
363,3;5,6
368,501;4,4
373,7;6,6
378,9;5,6
384,1;4
389,3;2,4
394,5;4,2
399,7;4,4
