Zeit t / s;Rate R_B1 / 1/s
5;404,6
10,2;362,2
15,401;318,8
20,601;291,8
25,8;257,2
31;229,4
36,2;203,6
41,4;186,4
46,601;161,8
51,8;149,2
57;135,2
62,2;129,4
67,4;115,4
72,601;104
77,8;99
83;90,8
88,201;92,6
93,4;71,8
98,6;79,2
103,801;71
109,001;71,4
114,201;61,2
119,4;59,6
124,6;52,4
129,8;56,2
135;53
140,201;44,4
145,401;49,6
150,501;42
155,601;41,2
160,799;38,2
166,001;46,4
171,2;36,6
176,4;38,8
181,6;31,6
186,8;36,2
192;33,8
197,2;36
202,401;32,8
207,6;31,6
212,8;28
218;33,6
223,2;24,8
228,4;28
233,601;25
238,8;24,2
244;25,8
249,201;26,2
254,4;20,6
259,6;24,8
264,8;26
270;22,6
275,2;21,2
280,401;23,8
285,601;20,6
290,801;19,2
296;22
301,201;18,4
306,4;17,2
311,6;19,2
316,801;17,6
322;19,4
327,2;18,2
332,4;16,4
337,6;14,4
342,8;19,4
348;14
353,2;16,4
358,4;14,8
363,599;16,4
368,8;12,8
374;12,6
379,2;11,6
384,4;12,4
389,6;14
394,8;17
400;10
