Zeit t / s;Rate R_B1 / 1/s
5,1;263,6
10,3;247
15,5;216
20,7;195,8
25,901;158,2
31,1;143
36,3;119,4
41,5;109,2
46,7;94,6
51,9;78,8
57,001;73,4
62,2;72,6
67,4;54
72,501;50,4
77,7;47
82,9;41,4
88,1;36,8
93,3;30,8
98,5;31,2
103,701;32,6
108,901;21,8
114,1;26,8
119,301;21,8
124,5;18,4
129,701;13
134,9;18,8
140,1;15,6
145,3;13,8
150,5;12,8
155,7;12,6
160,901;10,2
166,1;12,2
171,299;12,4
176,5;10,8
181,701;10
186,9;8,2
192,1;10,2
197,3;10
202,5;7,6
207,7;8,2
212,901;8
218,1;6,4
223,3;7
228,5;7,4
233,701;8,2
238,9;5,8
244,1;7,4
249,301;6
254,499;7,4
259,711;4,8
264,896;6
270,1;5,2
275,3;6,8
280,5;4
285,699;5,6
290,899;6
296,1;4,4
301,3;5,8
306,5;6,6
311,601;5,2
316,8;5,8
321,901;3,8
327,1;4,4
332,3;3,8
337,499;4
342,7;5,8
347,9;4,2
353;2,2
358,2;4,4
363,4;2,8
368,599;4,4
373,8;3
379,001;3,8
384,2;5,4
389,4;3,2
394,6;4,8
399,8;3,8
