x_0,x_1,x_2,phi_0,phi_1,Q_int,Q_ext,f_0,theta,Power (dBm)
-495.18254543997426,3.0222598239701896e-08,-4.607860093867974e-19,1091.0566519607871,-3.335778928021129e-08,12646.608191348874,5816.577608234933,5223872284.694648,0.18631275622090382,-35.0
-498.4416405657031,3.0420766236692005e-08,-4.637984430948948e-19,1091.0800089439006,-3.335849736113836e-08,12681.043653530394,5817.200581766904,5223871233.631845,0.1877569274240194,-35.0
-567.8517265391333,3.465092565954217e-08,-5.282495010213092e-19,1091.122341030619,-3.3359790945534225e-08,12690.589431701843,5821.144441207704,5223871917.797991,0.18678153220564528,-35.0
-498.12482598120624,3.0401882144220044e-08,-4.635171111202383e-19,1090.9866611515165,-3.335565793564525e-08,12695.243347892549,5817.603792366005,5223873340.295386,0.18512997412205842,-35.0
-559.3921076386406,3.413627654555448e-08,-5.204221696431978e-19,1091.0650155830094,-3.33580420871248e-08,12666.666302802056,5813.523269179842,5223872522.489912,0.18548788290479454,-35.0
-541.5467043995234,3.3047707236585125e-08,-5.038215598396626e-19,1091.064448787002,-3.335802607009126e-08,12682.800581418493,5811.940812965836,5223871778.557579,0.18661326637743253,-35.0
-553.5964000075196,3.3781548069234414e-08,-5.149944885526265e-19,1091.0617408673545,-3.335794737255023e-08,12645.703587116786,5811.066691534116,5223871828.409513,0.18708760910888225,-35.0
-525.3378275977433,3.206012014558956e-08,-4.887784875095808e-19,1090.9678296258433,-3.3355085060458976e-08,12697.100440114878,5821.041764902889,5223872212.734251,0.18669040642908066,-35.0
-520.1969913130954,3.1746745559931945e-08,-4.840028187155577e-19,1090.9557730844738,-3.33547163093423e-08,12629.496758159932,5818.889508653584,5223872827.831092,0.18653173368272788,-35.0
-575.9201769040847,3.5142580982769736e-08,-5.357393259799566e-19,1091.1610698607512,-3.336096729331163e-08,12677.358485574978,5816.5498721862605,5223872584.734767,0.18582310646442488,-35.0
-507.9996241131568,3.1003859205131735e-08,-4.726913746307165e-19,1091.0750026071275,-3.335834974623407e-08,12673.11114200031,5814.073095673654,5223871762.579891,0.1871161851479293,-35.0
-514.7530926782516,3.1414676713379304e-08,-4.789389780633259e-19,1090.9244603666018,-3.3353752959376994e-08,12698.102486548863,5819.735609434754,5223872247.948183,0.1862488977070666,-35.0
-498.5594834010638,3.042912451195133e-08,-4.639436346832556e-19,1091.0996304743287,-3.335909938981013e-08,12662.441025748803,5815.336341537624,5223871376.743251,0.18698500135528215,-35.0
-514.0931958675151,3.13756895322897e-08,-4.783636457842372e-19,1091.0096633106741,-3.335635540294216e-08,12651.265736972264,5817.646620709101,5223873012.983651,0.18587457325903003,-35.0
-519.4288399043704,3.169999908721322e-08,-4.832916300733839e-19,1090.9283150405258,-3.3353879212262585e-08,12697.50689333002,5820.008635372316,5223871482.364571,0.18770812285238897,-35.0
-542.2359167229293,3.308931170066703e-08,-5.044494120512176e-19,1090.9796324216109,-3.335544084268572e-08,12685.3778610083,5822.520872538451,5223870853.789446,0.1884287111602619,-35.0
-499.1176689152798,3.046318082359744e-08,-4.644630577469246e-19,1090.9145672916902,-3.3353462435339395e-08,12654.447823091288,5817.788606699935,5223872509.332773,0.18619671207763389,-35.0
-516.199102557209,3.150292600105698e-08,-4.802854349016805e-19,1090.9356946726239,-3.335410571590623e-08,12707.71907688249,5825.396956231683,5223872247.67069,0.18757341730861066,-35.0
-507.413231463559,3.096885860381309e-08,-4.721694005905326e-19,1090.9230622235884,-3.335371988745246e-08,12716.366011262946,5822.175331095852,5223872588.332405,0.18660887626598077,-35.0
-556.7150171928107,3.3971818236430814e-08,-5.178966339412156e-19,1091.0662472042447,-3.3358080501003126e-08,12662.1092589162,5817.3017007024355,5223872525.234998,0.1863708456404768,-35.0
-508.0664708998416,3.100890938600038e-08,-4.727832665252562e-19,1090.8620050489421,-3.335186117323003e-08,12679.879206525171,5823.427063031247,5223872167.313848,0.18662974264897175,-35.0
