#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
4.0484100000e+09, 4.5810028911e-01, 4.3269373476e-02, -6.7422147191e+00, 9.4174534227e-02, -3.2000000000e+01, 1.7513763914e+09
4.0484200000e+09, 4.5671635866e-01, 4.2624056339e-02, -6.7694055381e+00, 9.3057642692e-02, -3.2000000000e+01, 1.7513763914e+09
4.0484300000e+09, 4.5710477233e-01, 4.0596790612e-02, -6.7655633199e+00, 8.8580466852e-02, -3.2000000000e+01, 1.7513763914e+09
4.0484400000e+09, 4.5711308718e-01, 4.0161233395e-02, -6.7661319837e+00, 8.7633398116e-02, -3.2000000000e+01, 1.7513763914e+09
4.0484500000e+09, 4.5699077845e-01, 3.8543220609e-02, -6.7710672484e+00, 8.4142215958e-02, -3.2000000000e+01, 1.7513763914e+09
4.0484600000e+09, 4.5795139670e-01, 3.7983734161e-02, -6.7538372773e+00, 8.2753299247e-02, -3.2000000000e+01, 1.7513763914e+09
4.0484700000e+09, 4.5795455575e-01, 3.6517117173e-02, -6.7560255426e+00, 7.9571245174e-02, -3.2000000000e+01, 1.7513763914e+09
4.0484800000e+09, 4.5751097798e-01, 3.4631948918e-02, -6.7671557784e+00, 7.5552348731e-02, -3.2000000000e+01, 1.7513763914e+09
4.0484900000e+09, 4.5791026950e-01, 3.5621315241e-02, -6.7581904354e+00, 7.7634689355e-02, -3.2000000000e+01, 1.7513763914e+09
4.0485000000e+09, 4.5815166831e-01, 3.5480942577e-02, -6.7538454494e+00, 7.7289392635e-02, -3.2000000000e+01, 1.7513763914e+09
4.0485100000e+09, 4.5823553205e-01, 3.2138328999e-02, -6.7569145690e+00, 7.0020298576e-02, -3.2000000000e+01, 1.7513763914e+09
4.0485200000e+09, 4.5806407928e-01, 3.2808251679e-02, -6.7592531042e+00, 7.1501616416e-02, -3.2000000000e+01, 1.7513763914e+09
4.0485300000e+09, 4.5875182748e-01, 3.2074291259e-02, -6.7472659238e+00, 6.9802841306e-02, -3.2000000000e+01, 1.7513763914e+09
4.0485400000e+09, 4.5822149515e-01, 3.0868971720e-02, -6.7588258319e+00, 6.7265288116e-02, -3.2000000000e+01, 1.7513763914e+09
4.0485500000e+09, 4.5862540603e-01, 2.9740627855e-02, -6.7526132650e+00, 6.4756649227e-02, -3.2000000000e+01, 1.7513763914e+09
4.0485600000e+09, 4.5849782229e-01, 2.8139553964e-02, -6.7569266603e+00, 6.1296480030e-02, -3.2000000000e+01, 1.7513763914e+09
4.0485700000e+09, 4.5745974779e-01, 2.7775201946e-02, -6.7769616527e+00, 6.0641721414e-02, -3.2000000000e+01, 1.7513763914e+09
4.0485800000e+09, 4.5962199569e-01, 2.6839114726e-02, -6.7372003350e+00, 5.8327650739e-02, -3.2000000000e+01, 1.7513763914e+09
4.0485900000e+09, 4.5950341225e-01, 2.5448555127e-02, -6.7409246866e+00, 5.5326213529e-02, -3.2000000000e+01, 1.7513763914e+09
4.0486000000e+09, 4.5904776454e-01, 2.4216020480e-02, -6.7507734850e+00, 5.2703872227e-02, -3.2000000000e+01, 1.7513763914e+09
4.0486100000e+09, 4.5961913466e-01, 2.2879293188e-02, -6.7412897835e+00, 4.9737754045e-02, -3.2000000000e+01, 1.7513763914e+09
4.0486200000e+09, 4.5883220434e-01, 2.2414544597e-02, -6.7565702854e+00, 4.8812484145e-02, -3.2000000000e+01, 1.7513763914e+09
4.0486300000e+09, 4.6031326055e-01, 2.2004559636e-02, -6.7290172360e+00, 4.7767081861e-02, -3.2000000000e+01, 1.7513763914e+09
4.0486400000e+09, 4.6026223898e-01, 2.0650893450e-02, -6.7311590570e+00, 4.4837596756e-02, -3.2000000000e+01, 1.7513763914e+09
4.0486500000e+09, 4.5866656303e-01, 2.0034153014e-02, -6.7617805173e+00, 4.3651376333e-02, -3.2000000000e+01, 1.7513763914e+09
4.0486600000e+09, 4.6051013470e-01, 1.8239406869e-02, -6.7284086634e+00, 3.9586269676e-02, -3.2000000000e+01, 1.7513763914e+09
4.0486700000e+09, 4.5949986577e-01, 1.8043097109e-02, -6.7476010677e+00, 3.9246653969e-02, -3.2000000000e+01, 1.7513763914e+09
4.0486800000e+09, 4.5959919691e-01, 1.6320068389e-02, -6.7469421472e+00, 3.5494435768e-02, -3.2000000000e+01, 1.7513763914e+09
4.0486900000e+09, 4.5999613404e-01, 1.5595065430e-02, -6.7399275101e+00, 3.3889620966e-02, -3.2000000000e+01, 1.7513763914e+09
4.0487000000e+09, 4.5964738727e-01, 1.4391548000e-02, -6.7472487169e+00, 3.1299749363e-02, -3.2000000000e+01, 1.7513763914e+09
4.0487100000e+09, 4.5865771174e-01, 1.2933712453e-02, -6.7667739210e+00, 2.8191580602e-02, -3.2000000000e+01, 1.7513763914e+09
4.0487200000e+09, 4.5966547728e-01, 1.3136896305e-02, -6.7476164902e+00, 2.8571476610e-02, -3.2000000000e+01, 1.7513763914e+09
4.0487300000e+09, 4.6015021205e-01, 1.1634604074e-02, -6.7392319173e+00, 2.5278974974e-02, -3.2000000000e+01, 1.7513763914e+09
4.0487400000e+09, 4.5989900827e-01, 1.1693439446e-02, -6.7439437898e+00, 2.5420625678e-02, -3.2000000000e+01, 1.7513763914e+09
4.0487500000e+09, 4.6021559834e-01, 8.8547077030e-03, -6.7391658913e+00, 1.9237973101e-02, -3.2000000000e+01, 1.7513763914e+09
4.0487600000e+09, 4.6019300818e-01, 7.4203186669e-03, -6.7400706816e+00, 1.6122964828e-02, -3.2000000000e+01, 1.7513763914e+09
4.0487700000e+09, 4.5905411243e-01, 7.4550337158e-03, -6.7615771073e+00, 1.6238561485e-02, -3.2000000000e+01, 1.7513763914e+09
4.0487800000e+09, 4.5953011513e-01, 6.8820430897e-03, -6.7527464776e+00, 1.4975141806e-02, -3.2000000000e+01, 1.7513763914e+09
4.0487900000e+09, 4.5897573233e-01, 5.8483849280e-03, -6.7635004458e+00, 1.2741563491e-02, -3.2000000000e+01, 1.7513763914e+09
4.0488000000e+09, 4.5850548148e-01, 3.1543648802e-03, -6.7729038126e+00, 6.8795581379e-03, -3.2000000000e+01, 1.7513763914e+09
