#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
3.2615000000e+09, 3.1949943304e-01, -3.7789350748e-01, -6.1104067003e+00, -1.3435305869e+01, -5.0000000000e+01, 1.7513737522e+09
3.2630000000e+09, 1.8844124675e-01, -4.5791441202e-01, -6.1048712868e+00, -1.3746768571e+01, -5.0000000000e+01, 1.7513737522e+09
3.2645000000e+09, 4.6038694680e-02, -4.9425131083e-01, -6.0835238793e+00, -1.4044286600e+01, -5.0000000000e+01, 1.7513737522e+09
3.2660000000e+09, -1.1385363340e-01, -4.8460036516e-01, -6.0589841096e+00, -1.4367925216e+01, -5.0000000000e+01, 1.7513737522e+09
3.2675000000e+09, -2.5249886513e-01, -4.2910015583e-01, -6.0575392112e+00, -1.4669041639e+01, -5.0000000000e+01, 1.7513737522e+09
3.2690000000e+09, -3.7163323164e-01, -3.3090505004e-01, -6.0623285292e+00, -1.4980473189e+01, -5.0000000000e+01, 1.7513737522e+09
3.2705000000e+09, -4.5632639527e-01, -2.0054352283e-01, -6.0475840562e+00, -1.5293897279e+01, -5.0000000000e+01, 1.7513737522e+09
3.2720000000e+09, -4.9901393056e-01, -5.1041685045e-02, -5.9925457186e+00, -1.5606032665e+01, -5.0000000000e+01, 1.7513737522e+09
3.2735000000e+09, -4.8928621411e-01, 1.0299693793e-01, -6.0204371680e+00, -1.5915438581e+01, -5.0000000000e+01, 1.7513737522e+09
3.2750000000e+09, -4.3323615193e-01, 2.4892038107e-01, -6.0265987174e+00, -1.6229467191e+01, -5.0000000000e+01, 1.7513737522e+09
3.2765000000e+09, -3.3598449826e-01, 3.7193137407e-01, -5.9994832982e+00, -1.6544096313e+01, -5.0000000000e+01, 1.7513737522e+09
3.2780000000e+09, -2.0658518374e-01, 4.5380771160e-01, -6.0446589913e+00, -1.6851568024e+01, -5.0000000000e+01, 1.7513737522e+09
3.2795000000e+09, -5.5105902255e-02, 4.9591553211e-01, -6.0385494232e+00, -1.7168094055e+01, -5.0000000000e+01, 1.7513737522e+09
3.2810000000e+09, 9.2582650483e-02, 4.8950743675e-01, -6.0521733465e+00, -1.7465685880e+01, -5.0000000000e+01, 1.7513737522e+09
3.2825000000e+09, 2.3784933984e-01, 4.3235874176e-01, -6.1348963764e+00, -1.7781695196e+01, -5.0000000000e+01, 1.7513737522e+09
3.2840000000e+09, 3.5838559270e-01, 3.3822402358e-01, -6.1468742452e+00, -1.8093092102e+01, -5.0000000000e+01, 1.7513737522e+09
3.2855000000e+09, 4.4041177630e-01, 2.1570754051e-01, -6.1889886797e+00, -1.8394112816e+01, -5.0000000000e+01, 1.7513737522e+09
3.2870000000e+09, 4.8564261198e-01, 6.9038778544e-02, -6.1867712251e+00, -1.8708342487e+01, -5.0000000000e+01, 1.7513737522e+09
3.2885000000e+09, 4.8388072848e-01, -7.7924966812e-02, -6.1940374626e+00, -1.9009226700e+01, -5.0000000000e+01, 1.7513737522e+09
3.2900000000e+09, 4.3640843034e-01, -2.2065684199e-01, -6.2134457884e+00, -1.9317689437e+01, -5.0000000000e+01, 1.7513737522e+09
3.2915000000e+09, 3.5024315119e-01, -3.4318915010e-01, -6.1897692056e+00, -1.9624781848e+01, -5.0000000000e+01, 1.7513737522e+09
3.2930000000e+09, 2.3072680831e-01, -4.3554878235e-01, -6.1450525990e+00, -1.9933198114e+01, -5.0000000000e+01, 1.7513737522e+09
3.2945000000e+09, 9.0311720967e-02, -4.8681810498e-01, -6.1057151393e+00, -2.0236923245e+01, -5.0000000000e+01, 1.7513737522e+09
3.2960000000e+09, -6.2866985798e-02, -4.9108111858e-01, -6.1063379111e+00, -2.0547677225e+01, -5.0000000000e+01, 1.7513737522e+09
3.2975000000e+09, -2.1116036177e-01, -4.4952279329e-01, -6.0790225870e+00, -2.0859502936e+01, -5.0000000000e+01, 1.7513737522e+09
3.2990000000e+09, -3.3847489953e-01, -3.6301383376e-01, -6.0845748017e+00, -2.1170783446e+01, -5.0000000000e+01, 1.7513737522e+09
3.3005000000e+09, -4.3377169967e-01, -2.4551865458e-01, -6.0478320421e+00, -2.1476097576e+01, -5.0000000000e+01, 1.7513737522e+09
3.3020000000e+09, -4.8459982872e-01, -1.0106511414e-01, -6.1074325276e+00, -2.1785541942e+01, -5.0000000000e+01, 1.7513737522e+09
3.3035000000e+09, -4.9658906460e-01, 5.7260703296e-02, -6.0226939394e+00, -2.2105949594e+01, -5.0000000000e+01, 1.7513737522e+09
3.3050000000e+09, -4.5434150100e-01, 2.0212244987e-01, -6.0681156245e+00, -2.2409727376e+01, -5.0000000000e+01, 1.7513737522e+09
3.3065000000e+09, -3.7195426226e-01, 3.3162486553e-01, -6.0497951275e+00, -2.2719289050e+01, -5.0000000000e+01, 1.7513737522e+09
3.3080000000e+09, -2.4790199101e-01, 4.2970722914e-01, -6.0888185707e+00, -2.3038677101e+01, -5.0000000000e+01, 1.7513737522e+09
3.3095000000e+09, -1.1006486416e-01, 4.8318865895e-01, -6.0979718233e+00, -2.3337977828e+01, -5.0000000000e+01, 1.7513737522e+09
3.3110000000e+09, 4.7445114702e-02, 4.9451032281e-01, -6.0766980540e+00, -2.3657595753e+01, -5.0000000000e+01, 1.7513737522e+09
3.3125000000e+09, 1.9599027932e-01, 4.5549491048e-01, -6.0926301333e+00, -2.3968279112e+01, -5.0000000000e+01, 1.7513737522e+09
3.3140000000e+09, 3.2321262360e-01, 3.7444695830e-01, -6.1140698683e+00, -2.4274037216e+01, -5.0000000000e+01, 1.7513737522e+09
3.3155000000e+09, 4.2573401332e-01, 2.5661084056e-01, -6.0712976162e+00, -2.4590302701e+01, -5.0000000000e+01, 1.7513737522e+09
3.3170000000e+09, 4.8179101944e-01, 1.1601393670e-01, -6.0980378655e+00, -2.4896442586e+01, -5.0000000000e+01, 1.7513737522e+09
3.3185000000e+09, 4.9448156357e-01, -3.1982529908e-02, -6.0988677102e+00, -2.5197330175e+01, -5.0000000000e+01, 1.7513737522e+09
3.3200000000e+09, 4.5677042007e-01, -1.8344151974e-01, -6.1566449605e+00, -2.5514630904e+01, -5.0000000000e+01, 1.7513737522e+09
3.3215000000e+09, 3.7904354930e-01, -3.1233656406e-01, -6.1757202907e+00, -2.5821953317e+01, -5.0000000000e+01, 1.7513737522e+09
3.3230000000e+09, 2.6645815372e-01, -4.1605871916e-01, -6.1242367093e+00, -2.6133916530e+01, -5.0000000000e+01, 1.7513737522e+09
3.3245000000e+09, 1.2911351025e-01, -4.7787058353e-01, -6.1077968869e+00, -2.6439653208e+01, -5.0000000000e+01, 1.7513737522e+09
3.3260000000e+09, -2.1770311519e-02, -4.9167641997e-01, -6.1579063058e+00, -2.6747786375e+01, -5.0000000000e+01, 1.7513737522e+09
