#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
4.0480000000e+09, 4.5320171118e-01, 8.3122842014e-02, -6.7304755538e+00, 1.8139632970e-01, -3.5000000000e+01, 1.7513762803e+09
4.0480100000e+09, 4.5263856649e-01, 8.1302545965e-02, -6.7470651609e+00, 1.7772399762e-01, -3.5000000000e+01, 1.7513762803e+09
4.0480200000e+09, 4.5310419798e-01, 8.2143917680e-02, -6.7355959846e+00, 1.7934357750e-01, -3.5000000000e+01, 1.7513762803e+09
4.0480300000e+09, 4.5153018832e-01, 7.9503171146e-02, -6.7736674040e+00, 1.7428851759e-01, -3.5000000000e+01, 1.7513762803e+09
4.0480400000e+09, 4.5289847255e-01, 7.9102143645e-02, -6.7494807329e+00, 1.7291338596e-01, -3.5000000000e+01, 1.7513762803e+09
4.0480500000e+09, 4.5095250010e-01, 7.9838134348e-02, -6.7833471146e+00, 1.7522759313e-01, -3.5000000000e+01, 1.7513762803e+09
4.0480600000e+09, 4.5404934883e-01, 7.6821610332e-02, -6.7353638722e+00, 1.6760494668e-01, -3.5000000000e+01, 1.7513762803e+09
4.0480700000e+09, 4.5150768757e-01, 7.7966652811e-02, -6.7790896333e+00, 1.7099437853e-01, -3.5000000000e+01, 1.7513762803e+09
4.0480800000e+09, 4.5421826839e-01, 7.4937924743e-02, -6.7380770961e+00, 1.6350928098e-01, -3.5000000000e+01, 1.7513762803e+09
4.0480900000e+09, 4.5412611961e-01, 7.3430448771e-02, -6.7443802943e+00, 1.6030864334e-01, -3.5000000000e+01, 1.7513762803e+09
4.0481000000e+09, 4.5292261243e-01, 7.3713794351e-02, -6.7659810680e+00, 1.6133683798e-01, -3.5000000000e+01, 1.7513762803e+09
4.0481100000e+09, 4.5367321372e-01, 7.2618566453e-02, -6.7552649502e+00, 1.5872156946e-01, -3.5000000000e+01, 1.7513762803e+09
4.0481200000e+09, 4.5378077030e-01, 7.1976780891e-02, -6.7551661271e+00, 1.5730528163e-01, -3.5000000000e+01, 1.7513762803e+09
4.0481300000e+09, 4.5622631907e-01, 7.1064129472e-02, -6.7122794580e+00, 1.5452334449e-01, -3.5000000000e+01, 1.7513762803e+09
4.0481400000e+09, 4.5440363884e-01, 6.9134801626e-02, -6.7517802149e+00, 1.5098613773e-01, -3.5000000000e+01, 1.7513762803e+09
4.0481500000e+09, 4.5545896888e-01, 6.8269051611e-02, -6.7345209179e+00, 1.4878302514e-01, -3.5000000000e+01, 1.7513762803e+09
4.0481600000e+09, 4.5404869318e-01, 6.7114725709e-02, -6.7640843244e+00, 1.4675130778e-01, -3.5000000000e+01, 1.7513762803e+09
4.0481700000e+09, 4.5458364487e-01, 6.7348815501e-02, -6.7534278654e+00, 1.4708500755e-01, -3.5000000000e+01, 1.7513762803e+09
4.0481800000e+09, 4.5510095358e-01, 6.6796645522e-02, -6.7452811761e+00, 1.4573271676e-01, -3.5000000000e+01, 1.7513762803e+09
4.0481900000e+09, 4.5496511459e-01, 6.3941501081e-02, -6.7554927058e+00, 1.3962703876e-01, -3.5000000000e+01, 1.7513762803e+09
4.0482000000e+09, 4.5532503724e-01, 6.2903754413e-02, -6.7514619186e+00, 1.3728233960e-01, -3.5000000000e+01, 1.7513762803e+09
4.0482100000e+09, 4.5627152920e-01, 6.2850899994e-02, -6.7338983357e+00, 1.3688743314e-01, -3.5000000000e+01, 1.7513762803e+09
4.0482200000e+09, 4.5645835996e-01, 6.3007965684e-02, -6.7300042562e+00, 1.3716977957e-01, -3.5000000000e+01, 1.7513762803e+09
4.0482300000e+09, 4.5527854562e-01, 6.1315786093e-02, -6.7563896772e+00, 1.3387200785e-01, -3.5000000000e+01, 1.7513762803e+09
4.0482400000e+09, 4.5567694306e-01, 6.0405943543e-02, -6.7512032833e+00, 1.3179466661e-01, -3.5000000000e+01, 1.7513762803e+09
4.0482500000e+09, 4.5594286919e-01, 5.9540823102e-02, -6.7483542462e+00, 1.2985352424e-01, -3.5000000000e+01, 1.7513762803e+09
4.0482600000e+09, 4.5455285907e-01, 5.6064151227e-02, -6.7827423918e+00, 1.2271933711e-01, -3.5000000000e+01, 1.7513762803e+09
4.0482700000e+09, 4.5652776957e-01, 5.8520007879e-02, -6.7398753083e+00, 1.2748974626e-01, -3.5000000000e+01, 1.7513762803e+09
4.0482800000e+09, 4.5509675145e-01, 5.4340217262e-02, -6.7764441528e+00, 1.1884100889e-01, -3.5000000000e+01, 1.7513762803e+09
4.0482900000e+09, 4.5552366972e-01, 5.4441902786e-02, -6.7681860077e+00, 1.1895076487e-01, -3.5000000000e+01, 1.7513762803e+09
4.0483000000e+09, 4.5614293218e-01, 5.3705811501e-02, -6.7581905229e+00, 1.1719942703e-01, -3.5000000000e+01, 1.7513762803e+09
4.0483100000e+09, 4.5491495728e-01, 5.4196111858e-02, -6.7801893582e+00, 1.1857572458e-01, -3.5000000000e+01, 1.7513762803e+09
4.0483200000e+09, 4.5728030801e-01, 5.2156068385e-02, -6.7402168689e+00, 1.1356634007e-01, -3.5000000000e+01, 1.7513762803e+09
4.0483300000e+09, 4.5740002394e-01, 5.0703756511e-02, -6.7410346402e+00, 1.1040136863e-01, -3.5000000000e+01, 1.7513762803e+09
4.0483400000e+09, 4.5651561022e-01, 5.1646109670e-02, -6.7556562375e+00, 1.1265212359e-01, -3.5000000000e+01, 1.7513762803e+09
4.0483500000e+09, 4.5612052083e-01, 4.9757231027e-02, -6.7670310778e+00, 1.0865824487e-01, -3.5000000000e+01, 1.7513762803e+09
4.0483600000e+09, 4.5821851492e-01, 4.7774925828e-02, -6.7315915378e+00, 1.0388696695e-01, -3.5000000000e+01, 1.7513762803e+09
4.0483700000e+09, 4.5653694868e-01, 4.8001423478e-02, -6.7627338107e+00, 1.0475757421e-01, -3.5000000000e+01, 1.7513762803e+09
4.0483800000e+09, 4.5583888888e-01, 4.5051798224e-02, -6.7815568984e+00, 9.8512798722e-02, -3.5000000000e+01, 1.7513762803e+09
4.0483900000e+09, 4.5706409216e-01, 4.4523738325e-02, -6.7594412106e+00, 9.7106082378e-02, -3.5000000000e+01, 1.7513762803e+09
4.0484000000e+09, 4.5800045133e-01, 4.3052423745e-02, -6.7444754917e+00, 9.3725422559e-02, -3.5000000000e+01, 1.7513762803e+09
4.0484100000e+09, 4.5691072941e-01, 4.3163049966e-02, -6.7647881650e+00, 9.4187625858e-02, -3.5000000000e+01, 1.7513762803e+09
4.0484200000e+09, 4.5824056864e-01, 4.1805241257e-02, -6.7421330132e+00, 9.0978057504e-02, -3.5000000000e+01, 1.7513762803e+09
4.0484300000e+09, 4.5704317093e-01, 3.9924718440e-02, -6.7678412370e+00, 8.7133188022e-02, -3.5000000000e+01, 1.7513762803e+09
4.0484400000e+09, 4.5838019252e-01, 3.9972517639e-02, -6.7425821130e+00, 8.6983805761e-02, -3.5000000000e+01, 1.7513762803e+09
