#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
5.2140000000e+09, -9.2056870460e-02, -3.7617132068e-01, -8.2396859114e+00, -1.8108000018e+00, -3.2000000000e+01, 1.7513774307e+09
5.2140200000e+09, -9.4293326140e-02, -3.7750419974e-01, -8.1987225405e+00, -1.8155687360e+00, -3.2000000000e+01, 1.7513774307e+09
5.2140400000e+09, -9.5429204404e-02, -3.7650185823e-01, -8.2142479604e+00, -1.8190314041e+00, -3.2000000000e+01, 1.7513774307e+09
5.2140600000e+09, -9.7318388522e-02, -3.7615737319e-01, -8.2112304355e+00, -1.8239624522e+00, -3.2000000000e+01, 1.7513774307e+09
5.2140800000e+09, -1.0009340197e-01, -3.7609371543e-01, -8.1968721792e+00, -1.8309065073e+00, -3.2000000000e+01, 1.7513774307e+09
5.2141000000e+09, -1.0084219277e-01, -3.7406879663e-01, -8.2362910927e+00, -1.8341184683e+00, -3.2000000000e+01, 1.7513774307e+09
5.2141200000e+09, -1.0293081403e-01, -3.7614089251e-01, -8.1793725296e+00, -1.8379066715e+00, -3.2000000000e+01, 1.7513774307e+09
5.2141400000e+09, -1.0351616144e-01, -3.7597486377e-01, -8.1794876076e+00, -1.8394668433e+00, -3.2000000000e+01, 1.7513774307e+09
5.2141600000e+09, -1.0587044060e-01, -3.7498831749e-01, -8.1865731535e+00, -1.8459643012e+00, -3.2000000000e+01, 1.7513774307e+09
5.2141800000e+09, -1.0711342841e-01, -3.7452536821e-01, -8.1889265638e+00, -1.8493580759e+00, -3.2000000000e+01, 1.7513774307e+09
5.2142000000e+09, -1.0861024261e-01, -3.7375426292e-01, -8.1962052430e+00, -1.8536003389e+00, -3.2000000000e+01, 1.7513774307e+09
5.2142200000e+09, -1.0978390276e-01, -3.7354058027e-01, -8.1934357017e+00, -1.8566482421e+00, -3.2000000000e+01, 1.7513774307e+09
5.2142400000e+09, -1.1094223708e-01, -3.7209257484e-01, -8.2171080555e+00, -1.8605620098e+00, -3.2000000000e+01, 1.7513774307e+09
5.2142600000e+09, -1.1394158751e-01, -3.7280160189e-01, -8.1826008443e+00, -1.8674157023e+00, -3.2000000000e+01, 1.7513774307e+09
5.2142800000e+09, -1.1502512544e-01, -3.7167426944e-01, -8.1995289577e+00, -1.8709259772e+00, -3.2000000000e+01, 1.7513774307e+09
5.2143000000e+09, -1.1689720303e-01, -3.7037822604e-01, -8.2146911979e+00, -1.8765172234e+00, -3.2000000000e+01, 1.7513774307e+09
5.2143200000e+09, -1.1935365200e-01, -3.7076917291e-01, -8.1897126725e+00, -1.8822292985e+00, -3.2000000000e+01, 1.7513774307e+09
5.2143400000e+09, -1.1941253394e-01, -3.7019366026e-01, -8.2015332376e+00, -1.8828267634e+00, -3.2000000000e+01, 1.7513774307e+09
5.2143600000e+09, -1.2112823874e-01, -3.7013557553e-01, -8.1909345685e+00, -1.8870652734e+00, -3.2000000000e+01, 1.7513774307e+09
5.2143800000e+09, -1.2259937823e-01, -3.6906823516e-01, -8.2032767511e+00, -1.8915141150e+00, -3.2000000000e+01, 1.7513774307e+09
5.2144000000e+09, -1.2401061505e-01, -3.6796075106e-01, -8.2167427214e+00, -1.8958623815e+00, -3.2000000000e+01, 1.7513774307e+09
5.2144200000e+09, -1.2646140158e-01, -3.6874714494e-01, -8.1825087283e+00, -1.9011757214e+00, -3.2000000000e+01, 1.7513774307e+09
5.2144400000e+09, -1.2763129175e-01, -3.6738717556e-01, -8.2026705104e+00, -1.9051554098e+00, -3.2000000000e+01, 1.7513774307e+09
5.2144600000e+09, -1.2844260037e-01, -3.6685842276e-01, -8.2078553863e+00, -1.9075735042e+00, -3.2000000000e+01, 1.7513774307e+09
5.2144800000e+09, -1.3024222851e-01, -3.6698761582e-01, -8.1917778057e+00, -1.9118256586e+00, -3.2000000000e+01, 1.7513774307e+09
5.2145000000e+09, -1.3244566321e-01, -3.6704379320e-01, -8.1740561814e+00, -1.9170991451e+00, -3.2000000000e+01, 1.7513774307e+09
5.2145200000e+09, -1.3340148330e-01, -3.6465376616e-01, -8.2168989029e+00, -1.9215038833e+00, -3.2000000000e+01, 1.7513774307e+09
5.2145400000e+09, -1.3571003079e-01, -3.6540019512e-01, -8.1834355600e+00, -1.9264080612e+00, -3.2000000000e+01, 1.7513774307e+09
5.2145600000e+09, -1.3633306324e-01, -3.6341249943e-01, -8.2201544451e+00, -1.9296957574e+00, -3.2000000000e+01, 1.7513774307e+09
5.2145800000e+09, -1.3870823383e-01, -3.6373943090e-01, -8.1945452568e+00, -1.9351133489e+00, -3.2000000000e+01, 1.7513774307e+09
5.2146000000e+09, -1.3989937305e-01, -3.6324816942e-01, -8.1952697957e+00, -1.9384222314e+00, -3.2000000000e+01, 1.7513774307e+09
