#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
3.6062460000e+09, -4.6612039208e-01, -1.0501259565e-01, -6.4150195427e+00, -2.9200015233e+00, -3.9000000000e+01, 1.7513756993e+09
3.6062520000e+09, -4.6905392408e-01, -1.0181001574e-01, -6.3756113972e+00, -2.9278541055e+00, -3.9000000000e+01, 1.7513756993e+09
3.6062580000e+09, -4.6686503291e-01, -1.0102619976e-01, -6.4174288135e+00, -2.9284856782e+00, -3.9000000000e+01, 1.7513756993e+09
3.6062640000e+09, -4.6823760867e-01, -1.0322930664e-01, -6.3845583778e+00, -2.9246002800e+00, -3.9000000000e+01, 1.7513756993e+09
3.6062700000e+09, -4.6995335817e-01, -1.0039890558e-01, -6.3650817443e+00, -2.9311206951e+00, -3.9000000000e+01, 1.7513756993e+09
3.6062760000e+09, -4.6924725175e-01, -9.9068067968e-02, -6.3825806783e+00, -2.9335268072e+00, -3.9000000000e+01, 1.7513756993e+09
3.6062820000e+09, -4.6962520480e-01, -1.0050950944e-01, -6.3704655146e+00, -2.9307527251e+00, -3.9000000000e+01, 1.7513756993e+09
3.6062880000e+09, -4.6895432472e-01, -9.9389173090e-02, -6.3865684277e+00, -2.9327451806e+00, -3.9000000000e+01, 1.7513756993e+09
3.6062940000e+09, -4.6913614869e-01, -9.8911963403e-02, -6.3851335405e+00, -2.9337975079e+00, -3.9000000000e+01, 1.7513756993e+09
3.6063000000e+09, -4.6783849597e-01, -9.7797907889e-02, -6.4123300232e+00, -2.9355181459e+00, -3.9000000000e+01, 1.7513756993e+09
3.6063060000e+09, -4.6842178702e-01, -9.6230581403e-02, -6.4077315468e+00, -2.9389759159e+00, -3.9000000000e+01, 1.7513756993e+09
3.6063120000e+09, -4.6920201182e-01, -9.5315568149e-02, -6.3971796368e+00, -2.9411758636e+00, -3.9000000000e+01, 1.7513756993e+09
3.6063180000e+09, -4.6981129050e-01, -9.6637599170e-02, -6.3815610153e+00, -2.9387276557e+00, -3.9000000000e+01, 1.7513756993e+09
3.6063240000e+09, -4.6848011017e-01, -9.3270570040e-02, -6.4173572302e+00, -2.9450704709e+00, -3.9000000000e+01, 1.7513756993e+09
3.6063300000e+09, -4.6920448542e-01, -9.4217978418e-02, -6.4010786092e+00, -2.9434244624e+00, -3.9000000000e+01, 1.7513756993e+09
3.6063360000e+09, -4.7035345435e-01, -9.4520278275e-02, -6.3795797115e+00, -2.9432781763e+00, -3.9000000000e+01, 1.7513756993e+09
