name,value,stderr,min,max,vary
kappa_0,9.819542996896843,0.030140211599342465,5.0,50.0,True
kappa_1,9.907555330016984e-07,3.963143852922836e-11,1e-09,1e-06,True
kappa_2,2.2204e-33,0.0,0.0,9.999999999999999e-11,False
Kerr,-9.097511319446309e-08,7.357364405788507e-11,-1e-06,-1e-09,True
