name,value,stderr,min,max,vary
kappa_0,9.808131749735715,0.009683641816517962,5.0,50.0,True
kappa_1,9.907482939455971e-07,1.5217557364074123e-11,1e-09,1e-06,True
kappa_2,2.2204e-33,0.0,0.0,9.999999999999999e-11,False
Kerr,-9.096991198357833e-08,3.1911180174564363e-11,-1e-06,-1e-09,True
