Velocity,Count
-7.002844792484638,1263.0
-6.971333898953684,1284.0
-6.9398230054227295,1221.0
-6.908312111891775,1305.0
-6.8768012183608205,1234.0
-6.845290324829866,1239.0
-6.8137794312989115,1320.0
-6.782268537767957,1271.0
-6.7507576442370025,1263.0
-6.7192467507060485,1255.0
-6.687735857175094,1315.0
-6.656224963644139,1242.0
-6.624714070113185,1260.0
-6.5932031765822305,1223.0
-6.561692283051276,1276.0
-6.530181389520321,1304.0
-6.498670495989367,1292.0
-6.467159602458412,1323.0
-6.435648708927458,1229.0
-6.404137815396503,1291.0
-6.372626921865549,1265.0
-6.341116028334594,1277.0
-6.30960513480364,1255.0
-6.278094241272685,1253.0
-6.246583347741731,1228.0
-6.215072454210776,1255.0
-6.183561560679822,1308.0
-6.152050667148867,1279.0
-6.120539773617912,1209.0
-6.089028880086958,1224.0
-6.057517986556004,1244.0
-6.026007093025049,1149.0
-5.994496199494094,1123.0
-5.96298530596314,1131.0
-5.931474412432186,1172.0
-5.899963518901231,1118.0
-5.868452625370276,1131.0
-5.836941731839322,1063.0
-5.805430838308368,1047.0
-5.773919944777413,1064.0
-5.742409051246458,1074.0
-5.710898157715504,1046.0
-5.67938726418455,1000.0
-5.647876370653595,964.0
-5.61636547712264,916.0
-5.584854583591685,922.0
-5.553343690060731,908.0
-5.521832796529777,815.0
-5.490321902998822,812.0
-5.458811009467867,795.0
-5.427300115936913,756.0
-5.395789222405959,775.0
-5.364278328875004,768.0
-5.332767435344049,784.0
-5.301256541813095,807.0
-5.269745648282141,774.0
-5.238234754751186,821.0
-5.206723861220231,844.0
-5.175212967689277,762.0
-5.143702074158323,888.0
-5.112191180627368,903.0
-5.080680287096413,1005.0
-5.049169393565459,947.0
-5.017658500034505,976.0
-4.98614760650355,991.0
-4.9546367129725954,1029.0
-4.9231258194416405,1114.0
-4.8916149259106865,1044.0
-4.860104032379732,1051.0
-4.8285931388487775,1042.0
-4.797082245317823,1065.0
-4.7655713517868685,1119.0
-4.7340604582559145,1112.0
-4.7025495647249596,1131.0
-4.671038671194005,1181.0
-4.639527777663051,1118.0
-4.6080168841320965,1192.0
-4.576505990601142,1107.0
-4.544995097070187,1190.0
-4.513484203539233,1192.0
-4.481973310008279,1150.0
-4.450462416477324,1162.0
-4.418951522946369,1122.0
-4.387440629415415,1184.0
-4.355929735884461,1129.0
-4.324418842353506,1188.0
-4.292907948822551,1165.0
-4.261397055291596,1238.0
-4.229886161760642,1175.0
-4.198375268229688,1137.0
-4.166864374698733,1217.0
-4.135353481167778,1228.0
-4.103842587636824,1209.0
-4.07233169410587,1220.0
-4.040820800574915,1106.0
-4.009309907043961,1213.0
-3.977799013513006,1113.0
-3.946288119982051,1154.0
-3.914777226451097,1182.0
-3.883266332920142,1241.0
-3.851755439389188,1144.0
-3.820244545858233,1153.0
-3.788733652327279,1128.0
-3.757222758796324,1223.0
-3.72571186526537,1087.0
-3.694200971734415,1129.0
-3.662690078203461,1155.0
-3.631179184672506,1139.0
-3.599668291141552,1130.0
-3.568157397610597,1178.0
-3.536646504079643,1095.0
-3.505135610548688,1004.0
-3.473624717017734,1100.0
-3.442113823486779,1005.0
-3.410602929955825,994.0
-3.37909203642487,938.0
-3.347581142893916,917.0
-3.3160702493629612,876.0
-3.2845593558320063,808.0
-3.2530484623010523,782.0
-3.2215375687700973,734.0
-3.1900266752391433,735.0
-3.1585157817081884,736.0
-3.1270048881772343,778.0
-3.0954939946462794,747.0
-3.0639831011153253,744.0
-3.0324722075843704,770.0
-3.0009613140534164,814.0
-2.9694504205224614,890.0
-2.9379395269915074,892.0
-2.9064286334605525,965.0
-2.8749177399295984,950.0
-2.8434068463986435,961.0
-2.8118959528676895,938.0
-2.7803850593367345,965.0
-2.7488741658057805,1041.0
-2.7173632722748255,1098.0
-2.6858523787438715,1079.0
-2.6543414852129166,1089.0
-2.6228305916819616,1158.0
-2.5913196981510076,1097.0
-2.5598088046200527,1134.0
-2.5282979110890986,1158.0
-2.4967870175581437,1130.0
-2.4652761240271897,1171.0
-2.4337652304962347,1167.0
-2.4022543369652807,1170.0
-2.3707434434343257,1208.0
-2.3392325499033717,1169.0
-2.3077216563724168,1172.0
-2.2762107628414627,1192.0
-2.244699869310508,1144.0
-2.2131889757795538,1245.0
-2.181678082248599,1201.0
-2.150167188717645,1143.0
-2.11865629518669,1201.0
-2.087145401655736,1260.0
-2.055634508124781,1083.0
-2.024123614593827,1208.0
-1.992612721062872,1231.0
-1.9611018275319179,1174.0
-1.929590934000963,1196.0
-1.898080040470008,1209.0
