Velocity,Count
-7.002844792484638,1189.0
-6.971333898953684,1165.0
-6.9398230054227295,1262.0
-6.908312111891775,1207.0
-6.8768012183608205,1161.0
-6.845290324829866,1206.0
-6.8137794312989115,1182.0
-6.782268537767957,1204.0
-6.7507576442370025,1297.0
-6.7192467507060485,1265.0
-6.687735857175094,1230.0
-6.656224963644139,1239.0
-6.624714070113185,1232.0
-6.5932031765822305,1202.0
-6.561692283051276,1232.0
-6.530181389520321,1247.0
-6.498670495989367,1339.0
-6.467159602458412,1242.0
-6.435648708927458,1257.0
-6.404137815396503,1243.0
-6.372626921865549,1308.0
-6.341116028334594,1252.0
-6.30960513480364,1346.0
-6.278094241272685,1268.0
-6.246583347741731,1283.0
-6.215072454210776,1261.0
-6.183561560679822,1267.0
-6.152050667148867,1262.0
-6.120539773617912,1197.0
-6.089028880086958,1210.0
-6.057517986556004,1260.0
-6.026007093025049,1213.0
-5.994496199494094,1169.0
-5.96298530596314,1166.0
-5.931474412432186,1202.0
-5.899963518901231,1177.0
-5.868452625370276,1193.0
-5.836941731839322,1212.0
-5.805430838308368,1146.0
-5.773919944777413,1174.0
-5.742409051246458,1174.0
-5.710898157715504,1150.0
-5.67938726418455,1197.0
-5.647876370653595,1146.0
-5.61636547712264,1095.0
-5.584854583591685,1128.0
-5.553343690060731,1084.0
-5.521832796529777,1103.0
-5.490321902998822,1073.0
-5.458811009467867,1173.0
-5.427300115936913,1113.0
-5.395789222405959,1125.0
-5.364278328875004,1149.0
-5.332767435344049,1166.0
-5.301256541813095,1162.0
-5.269745648282141,1168.0
-5.238234754751186,1155.0
-5.206723861220231,1106.0
-5.175212967689277,1197.0
-5.143702074158323,1180.0
-5.112191180627368,1102.0
-5.080680287096413,1135.0
-5.049169393565459,1183.0
-5.017658500034505,1132.0
-4.98614760650355,1163.0
-4.9546367129725954,1166.0
-4.9231258194416405,1164.0
-4.8916149259106865,1132.0
-4.860104032379732,1124.0
-4.8285931388487775,1148.0
-4.797082245317823,1205.0
-4.7655713517868685,1218.0
-4.7340604582559145,1223.0
-4.7025495647249596,1110.0
-4.671038671194005,1167.0
-4.639527777663051,1117.0
-4.6080168841320965,1182.0
-4.576505990601142,1160.0
-4.544995097070187,1178.0
-4.513484203539233,1104.0
-4.481973310008279,1163.0
-4.450462416477324,1172.0
-4.418951522946369,1212.0
-4.387440629415415,1160.0
-4.355929735884461,1178.0
-4.324418842353506,1139.0
-4.292907948822551,1202.0
-4.261397055291596,1175.0
-4.229886161760642,1184.0
-4.198375268229688,1182.0
-4.166864374698733,1175.0
-4.135353481167778,1175.0
-4.103842587636824,1206.0
-4.07233169410587,1185.0
-4.040820800574915,1139.0
-4.009309907043961,1168.0
-3.977799013513006,1100.0
-3.946288119982051,1168.0
-3.914777226451097,1115.0
-3.883266332920142,1128.0
-3.851755439389188,1226.0
-3.820244545858233,1147.0
-3.788733652327279,1147.0
-3.757222758796324,1253.0
-3.72571186526537,1168.0
-3.694200971734415,1182.0
-3.662690078203461,1170.0
-3.631179184672506,1193.0
-3.599668291141552,1176.0
-3.568157397610597,1168.0
-3.536646504079643,1155.0
-3.505135610548688,1227.0
-3.473624717017734,1198.0
-3.442113823486779,1162.0
-3.410602929955825,1149.0
-3.37909203642487,1197.0
-3.347581142893916,1125.0
-3.3160702493629612,1152.0
-3.2845593558320063,1212.0
-3.2530484623010523,1210.0
-3.2215375687700973,1144.0
-3.1900266752391433,1211.0
-3.1585157817081884,1194.0
-3.1270048881772343,1178.0
-3.0954939946462794,1174.0
-3.0639831011153253,1213.0
-3.0324722075843704,1210.0
-3.0009613140534164,1243.0
-2.9694504205224614,1203.0
-2.9379395269915074,1241.0
-2.9064286334605525,1204.0
-2.8749177399295984,1154.0
-2.8434068463986435,1201.0
-2.8118959528676895,1125.0
-2.7803850593367345,1264.0
-2.7488741658057805,1172.0
-2.7173632722748255,1164.0
-2.6858523787438715,1168.0
-2.6543414852129166,1175.0
-2.6228305916819616,1159.0
-2.5913196981510076,1273.0
-2.5598088046200527,1212.0
-2.5282979110890986,1172.0
-2.4967870175581437,1189.0
-2.4652761240271897,1192.0
-2.4337652304962347,1223.0
-2.4022543369652807,1191.0
-2.3707434434343257,1189.0
-2.3392325499033717,1189.0
-2.3077216563724168,1152.0
-2.2762107628414627,1197.0
-2.244699869310508,1187.0
-2.2131889757795538,1178.0
-2.181678082248599,1152.0
-2.150167188717645,1153.0
-2.11865629518669,1211.0
-2.087145401655736,1167.0
-2.055634508124781,1126.0
-2.024123614593827,1230.0
-1.992612721062872,1144.0
-1.9611018275319179,1182.0
-1.929590934000963,1136.0
-1.898080040470008,1219.0
-1.866569146939054,1170.0
-1.835058253408099,1230.0
-1.803547359877145,1153.0
-1.77203646634619,1146.0
-1.740525572815236,1160.0
-1.709014679284281,1202.0
-1.677503785753327,1209.0
-1.645992892222372,1270.0
-1.614481998691418,1196.0
-1.5829711051604631,1125.0
-1.551460211629509,1130.0
-1.5199493180985542,1202.0
-1.4884384245676001,1233.0
-1.4569275310366452,1138.0
-1.4254166375056911,1156.0
-1.3939057439747362,1180.0
-1.3623948504437822,1181.0
-1.3308839569128272,1176.0
-1.2993730633818732,1201.0
-1.2678621698509183,1162.0
-1.2363512763199633,1184.0
-1.2048403827890093,1133.0
-1.1733294892580544,1197.0
-1.1418185957271003,1144.0
-1.1103077021961454,1174.0
-1.0787968086651913,1128.0
-1.0472859151342364,1132.0
-1.0157750216032824,1209.0
-0.9842641280723274,1213.0
-0.9527532345413734,1223.0
-0.9212423410104185,1267.0
-0.8897314474794644,1134.0
-0.8582205539485095,1156.0
-0.8267096604175554,1120.0
-0.7951987668866005,1190.0
-0.7636878733556465,1137.0
-0.7321769798246915,1190.0
-0.7006660862937375,1136.0
-0.6691551927627826,1114.0
-0.6376442992318285,1138.0
-0.6061334057008736,1125.0
-0.5746225121699187,1046.0
-0.5431116186389646,1014.0
-0.5116007251080097,979.0
-0.48008983157705565,1047.0
-0.4485789380461007,995.0
-0.4170680445151467,1007.0
-0.38555715098419174,990.0
-0.3540462574532377,1062.0
-0.32253536392228277,946.0
-0.2910244703913287,1000.0
-0.2595135768603738,1008.0
-0.22800268332941975,1053.0
-0.19649178979846482,1118.0
-0.16498089626751078,1072.0
-0.13347000273655585,1164.0
-0.1019591092056018,1136.0
-0.07044821567464687,1153.0
-0.03893732214369283,1151.0
-0.007426428612738789,1185.0
0.024084464918216142,1173.0
0.05559535844917107,1348.0
0.087106251980126,1037.0
0.11861714551108093,1074.0
0.1501280390420341,1164.0
0.18163893257298902,1172.0
0.21314982610394395,1146.0
0.24466071963489888,1153.0
0.27617161316585204,1197.0
0.30768250669680697,1224.0
0.3391934002277619,1179.0
0.37070429375871683,1136.0
0.40221518728967,1157.0
0.4337260808206249,1142.0
0.46523697435157985,1203.0
0.4967478678825348,1121.0
0.5282587614134879,1166.0
0.5597696549444429,1136.0
0.5912805484753978,1134.0
0.6227914420063527,1175.0
0.6543023355373059,1186.0
0.6858132290682608,1117.0
0.7173241225992157,1174.0
0.7488350161301707,1119.0
0.7803459096611256,1135.0
0.8118568031920788,1164.0
0.8433676967230337,1166.0
0.8748785902539886,1153.0
0.9063894837849436,1201.0
0.9379003773158967,1161.0
0.9694112708468516,1156.0
1.0009221643778066,1151.0
1.0324330579087615,1140.0
1.0639439514397147,1151.0
1.0954548449706696,1259.0
1.1269657385016245,1168.0
1.1584766320325794,1188.0
1.1899875255635326,1165.0
1.2214984190944875,1187.0
1.2530093126254425,1145.0
1.2845202061563974,1153.0
1.3160310996873505,1200.0
1.3475419932183055,1229.0
1.3790528867492604,1176.0
1.4105637802802153,1202.0
1.4420746738111703,1151.0
1.4735855673421234,1188.0
1.5050964608730784,1265.0
1.5366073544040333,1215.0
1.5681182479349882,1160.0
1.5996291414659414,1153.0
1.6311400349968963,1135.0
1.6626509285278512,1118.0
1.6941618220588062,1161.0
1.7256727155897593,1107.0
1.7571836091207143,1211.0
1.7886945026516692,1254.0
1.8202053961826241,1117.0
1.8517162897135773,1221.0
1.8832271832445322,1201.0
1.9147380767754871,1198.0
1.946248970306442,1186.0
1.9777598638373952,1190.0
2.00927075736835,1150.0
2.040781650899305,1221.0
2.07229254443026,1149.0
2.103803437961215,1149.0
2.135314331492168,1143.0
2.166825225023123,1162.0
2.198336118554078,1147.0
2.229847012085033,1169.0
2.261357905615986,1183.0
2.292868799146941,1162.0
2.324379692677896,1200.0
2.355890586208851,1118.0
2.387401479739804,1190.0
2.418912373270759,1170.0
2.450423266801714,1084.0
2.481934160332669,1129.0
2.513445053863622,1191.0
2.544955947394577,1097.0
2.576466840925532,1107.0
2.6079777344564867,1127.0
2.63948862798744,1104.0
2.670999521518395,1014.0
2.7025104150493497,1044.0
2.7340213085803047,982.0
2.7655322021112596,1024.0
2.7970430956422128,1008.0
2.8285539891731677,1005.0
2.8600648827041226,1000.0
2.8915757762350776,1006.0
2.9230866697660307,1011.0
2.9545975632969856,969.0
2.9861084568279406,981.0
3.0176193503588955,1060.0
3.0491302438898487,1153.0
3.0806411374208036,1082.0
3.1121520309517585,1081.0
3.1436629244827134,1109.0
3.1751738180136666,1180.0
3.2066847115446215,1095.0
3.2381956050755765,1185.0
3.2697064986065314,1145.0
3.3012173921374846,1084.0
3.3327282856684395,1219.0
3.3642391791993944,1172.0
3.3957500727303493,1214.0
3.4272609662613043,1174.0
3.4587718597922574,1203.0
3.4902827533232124,1070.0
3.5217936468541673,1146.0
3.5533045403851222,1233.0
3.5848154339160754,1168.0
3.6163263274470303,1155.0
3.6478372209779852,1256.0
3.67934811450894,1193.0
3.7108590080398933,1029.0
3.7423699015708483,1161.0
3.773880795101803,1261.0
3.805391688632758,1131.0
3.8369025821637113,1173.0
3.868413475694666,1210.0
3.899924369225621,1207.0
3.931435262756576,1155.0
3.962946156287529,1233.0
3.994457049818484,1151.0
4.025967943349439,1180.0
4.057478836880394,1105.0
4.088989730411347,1236.0
4.120500623942302,1111.0
4.152011517473257,1128.0
4.183522411004212,1239.0
4.215033304535167,1173.0
4.24654419806612,1169.0
4.278055091597075,1185.0
4.30956598512803,1215.0
4.341076878658985,1195.0
4.372587772189938,1190.0
4.404098665720893,1094.0
4.435609559251848,1197.0
4.467120452782803,1222.0
4.498631346313756,1172.0
4.530142239844711,1110.0
4.561653133375666,1196.0
4.593164026906621,1223.0
4.624674920437574,1132.0
4.656185813968529,1168.0
4.687696707499484,1141.0
4.719207601030439,1184.0
4.750718494561392,1114.0
4.782229388092347,1136.0
4.813740281623302,1219.0
4.845251175154257,1251.0
4.876762068685212,1239.0
4.908272962216165,1252.0
4.93978385574712,1191.0
4.971294749278075,1206.0
5.0028056428090295,1146.0
5.034316536339983,1147.0
5.065827429870938,1150.0
5.0973383234018925,1202.0
5.1288492169328475,1255.0
5.160360110463801,1195.0
5.1918710039947555,1199.0
5.2233818975257105,1139.0
5.254892791056665,1194.0
5.286403684587619,1174.0
5.3179145781185735,1262.0
5.349425471649528,1178.0
5.380936365180483,1109.0
5.4124472587114365,1178.0
5.443958152242391,1153.0
5.475469045773346,1134.0
5.506979939304301,1185.0
5.538490832835256,1155.0
5.570001726366209,1217.0
5.601512619897164,1198.0
5.633023513428119,1193.0
5.664534406959074,1185.0
5.696045300490027,1178.0
5.727556194020982,1164.0
5.759067087551937,1188.0
5.790577981082892,1225.0
5.822088874613845,1178.0
5.8535997681448,1164.0
5.885110661675755,1169.0
5.91662155520671,1159.0
5.948132448737663,1175.0
5.979643342268618,1132.0
6.011154235799573,1267.0
6.042665129330528,1165.0
6.074176022861481,1135.0
6.105686916392436,1170.0
6.137197809923391,1136.0
6.168708703454346,1124.0
6.200219596985301,1182.0
6.231730490516254,1159.0
6.263241384047209,1216.0
6.294752277578164,1177.0
6.326263171109119,1183.0
6.357774064640072,1178.0
6.389284958171027,1201.0
6.420795851701982,1223.0
6.452306745232937,1169.0
6.48381763876389,1180.0
6.515328532294845,1210.0
6.5468394258258,1160.0
6.578350319356755,1173.0
6.609861212887708,1154.0
6.641372106418663,1182.0
6.672882999949618,1224.0
6.704393893480573,1160.0
6.735904787011526,1160.0
6.767415680542481,1166.0
6.798926574073436,1141.0
6.830437467604391,1165.0
6.861948361135346,1170.0
6.893459254666299,1130.0
6.924970148197254,1224.0
6.956481041728209,1133.0
6.9879919352591635,1103.0
7.019502828790117,1153.0
7.051013722321072,1163.0
7.0825246158520265,1171.0
7.1140355093829815,1191.0
7.145546402913935,1192.0
7.1770572964448895,1169.0
7.2085681899758445,1169.0
7.240079083506799,1140.0
7.271589977037753,1105.0
7.3031008705687075,1050.0
