Velocity,Count
-7.002844792484638,748.0
-6.971333898953684,759.0
-6.9398230054227295,657.0
-6.908312111891775,726.0
-6.8768012183608205,718.0
-6.845290324829866,694.0
-6.8137794312989115,709.0
-6.782268537767957,721.0
-6.7507576442370025,723.0
-6.7192467507060485,780.0
-6.687735857175094,720.0
-6.656224963644139,747.0
-6.624714070113185,708.0
-6.5932031765822305,781.0
-6.561692283051276,749.0
-6.530181389520321,775.0
-6.498670495989367,737.0
-6.467159602458412,737.0
-6.435648708927458,683.0
-6.404137815396503,759.0
-6.372626921865549,720.0
-6.341116028334594,769.0
-6.30960513480364,780.0
-6.278094241272685,679.0
-6.246583347741731,749.0
-6.215072454210776,782.0
-6.183561560679822,727.0
-6.152050667148867,749.0
-6.120539773617912,755.0
-6.089028880086958,714.0
-6.057517986556004,739.0
-6.026007093025049,736.0
-5.994496199494094,757.0
-5.96298530596314,637.0
-5.931474412432186,708.0
-5.899963518901231,692.0
-5.868452625370276,720.0
-5.836941731839322,728.0
-5.805430838308368,676.0
-5.773919944777413,766.0
-5.742409051246458,690.0
-5.710898157715504,710.0
-5.67938726418455,659.0
-5.647876370653595,622.0
-5.61636547712264,648.0
-5.584854583591685,676.0
-5.553343690060731,655.0
-5.521832796529777,648.0
-5.490321902998822,677.0
-5.458811009467867,680.0
-5.427300115936913,714.0
-5.395789222405959,662.0
-5.364278328875004,675.0
-5.332767435344049,664.0
-5.301256541813095,724.0
-5.269745648282141,729.0
-5.238234754751186,639.0
-5.206723861220231,695.0
-5.175212967689277,665.0
-5.143702074158323,682.0
-5.112191180627368,676.0
-5.080680287096413,683.0
-5.049169393565459,677.0
-5.017658500034505,700.0
-4.98614760650355,709.0
-4.9546367129725954,733.0
-4.9231258194416405,678.0
-4.8916149259106865,689.0
-4.860104032379732,724.0
-4.8285931388487775,708.0
-4.797082245317823,672.0
-4.7655713517868685,759.0
-4.7340604582559145,657.0
-4.7025495647249596,675.0
-4.671038671194005,670.0
-4.639527777663051,697.0
-4.6080168841320965,640.0
-4.576505990601142,742.0
-4.544995097070187,658.0
-4.513484203539233,704.0
-4.481973310008279,706.0
-4.450462416477324,720.0
-4.418951522946369,660.0
-4.387440629415415,688.0
-4.355929735884461,657.0
-4.324418842353506,678.0
-4.292907948822551,700.0
-4.261397055291596,721.0
-4.229886161760642,654.0
-4.198375268229688,642.0
-4.166864374698733,693.0
-4.135353481167778,681.0
-4.103842587636824,680.0
-4.07233169410587,758.0
-4.040820800574915,696.0
-4.009309907043961,712.0
-3.977799013513006,680.0
-3.946288119982051,666.0
-3.914777226451097,682.0
-3.883266332920142,643.0
-3.851755439389188,678.0
-3.820244545858233,658.0
-3.788733652327279,707.0
-3.757222758796324,668.0
-3.72571186526537,651.0
-3.694200971734415,722.0
-3.662690078203461,695.0
-3.631179184672506,726.0
-3.599668291141552,658.0
-3.568157397610597,668.0
-3.536646504079643,709.0
-3.505135610548688,732.0
-3.473624717017734,688.0
-3.442113823486779,711.0
-3.410602929955825,705.0
-3.37909203642487,664.0
-3.347581142893916,700.0
-3.3160702493629612,673.0
-3.2845593558320063,689.0
-3.2530484623010523,662.0
-3.2215375687700973,779.0
-3.1900266752391433,723.0
-3.1585157817081884,668.0
-3.1270048881772343,728.0
-3.0954939946462794,666.0
-3.0639831011153253,712.0
-3.0324722075843704,719.0
-3.0009613140534164,688.0
-2.9694504205224614,708.0
-2.9379395269915074,713.0
-2.9064286334605525,689.0
-2.8749177399295984,681.0
-2.8434068463986435,642.0
-2.8118959528676895,716.0
-2.7803850593367345,743.0
-2.7488741658057805,705.0
-2.7173632722748255,638.0
-2.6858523787438715,715.0
-2.6543414852129166,716.0
-2.6228305916819616,679.0
-2.5913196981510076,692.0
-2.5598088046200527,711.0
-2.5282979110890986,717.0
-2.4967870175581437,692.0
-2.4652761240271897,724.0
-2.4337652304962347,709.0
-2.4022543369652807,749.0
-2.3707434434343257,660.0
-2.3392325499033717,688.0
-2.3077216563724168,697.0
-2.2762107628414627,687.0
-2.244699869310508,683.0
-2.2131889757795538,718.0
-2.181678082248599,734.0
-2.150167188717645,712.0
-2.11865629518669,712.0
-2.087145401655736,788.0
-2.055634508124781,712.0
-2.024123614593827,670.0
-1.992612721062872,701.0
-1.9611018275319179,666.0
-1.929590934000963,682.0
-1.898080040470008,704.0
-1.866569146939054,683.0
-1.835058253408099,686.0
-1.803547359877145,630.0
-1.77203646634619,680.0
-1.740525572815236,711.0
-1.709014679284281,683.0
-1.677503785753327,699.0
-1.645992892222372,719.0
-1.614481998691418,744.0
-1.5829711051604631,682.0
-1.551460211629509,700.0
-1.5199493180985542,714.0
-1.4884384245676001,685.0
-1.4569275310366452,705.0
-1.4254166375056911,749.0
-1.3939057439747362,754.0
-1.3623948504437822,660.0
-1.3308839569128272,736.0
-1.2993730633818732,650.0
-1.2678621698509183,703.0
-1.2363512763199633,643.0
-1.2048403827890093,708.0
-1.1733294892580544,722.0
-1.1418185957271003,700.0
-1.1103077021961454,687.0
-1.0787968086651913,699.0
-1.0472859151342364,700.0
-1.0157750216032824,665.0
-0.9842641280723274,710.0
-0.9527532345413734,693.0
-0.9212423410104185,651.0
-0.8897314474794644,685.0
-0.8582205539485095,662.0
-0.8267096604175554,682.0
-0.7951987668866005,716.0
-0.7636878733556465,742.0
-0.7321769798246915,642.0
-0.7006660862937375,681.0
-0.6691551927627826,691.0
-0.6376442992318285,678.0
-0.6061334057008736,682.0
-0.5746225121699187,647.0
-0.5431116186389646,637.0
-0.5116007251080097,641.0
-0.48008983157705565,634.0
-0.4485789380461007,643.0
-0.4170680445151467,580.0
-0.38555715098419174,577.0
-0.3540462574532377,573.0
-0.32253536392228277,543.0
-0.2910244703913287,542.0
-0.2595135768603738,470.0
-0.22800268332941975,434.0
-0.19649178979846482,416.0
-0.16498089626751078,442.0
-0.13347000273655585,444.0
-0.1019591092056018,404.0
-0.07044821567464687,448.0
-0.03893732214369283,428.0
-0.007426428612738789,456.0
0.024084464918216142,462.0
0.05559535844917107,536.0
0.087106251980126,567.0
0.11861714551108093,499.0
0.1501280390420341,573.0
0.18163893257298902,605.0
0.21314982610394395,550.0
0.24466071963489888,612.0
0.27617161316585204,636.0
0.30768250669680697,670.0
0.3391934002277619,663.0
0.37070429375871683,705.0
0.40221518728967,697.0
0.4337260808206249,679.0
0.46523697435157985,668.0
0.4967478678825348,697.0
0.5282587614134879,695.0
0.5597696549444429,662.0
0.5912805484753978,644.0
0.6227914420063527,695.0
0.6543023355373059,685.0
0.6858132290682608,716.0
0.7173241225992157,708.0
0.7488350161301707,730.0
0.7803459096611256,710.0
0.8118568031920788,712.0
0.8433676967230337,635.0
0.8748785902539886,683.0
0.9063894837849436,689.0
0.9379003773158967,680.0
0.9694112708468516,642.0
1.0009221643778066,685.0
1.0324330579087615,734.0
1.0639439514397147,723.0
1.0954548449706696,693.0
1.1269657385016245,655.0
1.1584766320325794,671.0
1.1899875255635326,674.0
1.2214984190944875,707.0
1.2530093126254425,681.0
1.2845202061563974,623.0
1.3160310996873505,680.0
1.3475419932183055,686.0
1.3790528867492604,694.0
1.4105637802802153,669.0
1.4420746738111703,689.0
1.4735855673421234,650.0
1.5050964608730784,727.0
1.5366073544040333,706.0
1.5681182479349882,723.0
1.5996291414659414,710.0
1.6311400349968963,728.0
1.6626509285278512,688.0
1.6941618220588062,712.0
1.7256727155897593,720.0
1.7571836091207143,702.0
1.7886945026516692,697.0
1.8202053961826241,696.0
1.8517162897135773,716.0
1.8832271832445322,722.0
1.9147380767754871,706.0
1.946248970306442,654.0
1.9777598638373952,715.0
2.00927075736835,690.0
2.040781650899305,735.0
2.07229254443026,694.0
2.103803437961215,682.0
2.135314331492168,661.0
2.166825225023123,700.0
2.198336118554078,748.0
2.229847012085033,673.0
2.261357905615986,672.0
2.292868799146941,712.0
2.324379692677896,727.0
2.355890586208851,689.0
2.387401479739804,707.0
2.418912373270759,747.0
2.450423266801714,684.0
2.481934160332669,718.0
2.513445053863622,673.0
2.544955947394577,720.0
2.576466840925532,701.0
2.6079777344564867,718.0
2.63948862798744,661.0
2.670999521518395,753.0
2.7025104150493497,675.0
2.7340213085803047,732.0
2.7655322021112596,683.0
2.7970430956422128,712.0
2.8285539891731677,688.0
2.8600648827041226,684.0
2.8915757762350776,678.0
2.9230866697660307,708.0
2.9545975632969856,687.0
2.9861084568279406,674.0
3.0176193503588955,718.0
3.0491302438898487,646.0
3.0806411374208036,681.0
3.1121520309517585,732.0
3.1436629244827134,675.0
3.1751738180136666,712.0
3.2066847115446215,693.0
3.2381956050755765,709.0
3.2697064986065314,711.0
3.3012173921374846,729.0
3.3327282856684395,682.0
3.3642391791993944,674.0
3.3957500727303493,685.0
3.4272609662613043,751.0
3.4587718597922574,693.0
3.4902827533232124,759.0
3.5217936468541673,679.0
3.5533045403851222,673.0
3.5848154339160754,704.0
3.6163263274470303,686.0
3.6478372209779852,694.0
3.67934811450894,732.0
3.7108590080398933,722.0
3.7423699015708483,736.0
3.773880795101803,682.0
3.805391688632758,699.0
3.8369025821637113,664.0
3.868413475694666,696.0
3.899924369225621,685.0
3.931435262756576,729.0
3.962946156287529,699.0
3.994457049818484,684.0
4.025967943349439,689.0
4.057478836880394,734.0
4.088989730411347,727.0
4.120500623942302,709.0
4.152011517473257,690.0
4.183522411004212,671.0
4.215033304535167,672.0
4.24654419806612,709.0
4.278055091597075,662.0
4.30956598512803,656.0
4.341076878658985,735.0
4.372587772189938,704.0
4.404098665720893,705.0
4.435609559251848,713.0
4.467120452782803,683.0
4.498631346313756,668.0
4.530142239844711,702.0
4.561653133375666,712.0
4.593164026906621,736.0
4.624674920437574,700.0
4.656185813968529,712.0
4.687696707499484,694.0
4.719207601030439,664.0
4.750718494561392,707.0
4.782229388092347,704.0
4.813740281623302,735.0
4.845251175154257,703.0
4.876762068685212,710.0
4.908272962216165,655.0
4.93978385574712,688.0
4.971294749278075,694.0
5.0028056428090295,682.0
5.034316536339983,702.0
5.065827429870938,699.0
5.0973383234018925,687.0
5.1288492169328475,681.0
5.160360110463801,677.0
5.1918710039947555,679.0
5.2233818975257105,683.0
5.254892791056665,676.0
5.286403684587619,682.0
5.3179145781185735,686.0
5.349425471649528,695.0
5.380936365180483,687.0
5.4124472587114365,672.0
5.443958152242391,745.0
5.475469045773346,671.0
5.506979939304301,729.0
5.538490832835256,694.0
5.570001726366209,708.0
5.601512619897164,711.0
5.633023513428119,666.0
5.664534406959074,707.0
5.696045300490027,697.0
5.727556194020982,656.0
5.759067087551937,685.0
5.790577981082892,716.0
5.822088874613845,754.0
5.8535997681448,714.0
5.885110661675755,664.0
5.91662155520671,712.0
5.948132448737663,720.0
5.979643342268618,670.0
6.011154235799573,683.0
6.042665129330528,716.0
6.074176022861481,725.0
6.105686916392436,683.0
6.137197809923391,662.0
6.168708703454346,712.0
6.200219596985301,692.0
6.231730490516254,732.0
6.263241384047209,667.0
6.294752277578164,690.0
6.326263171109119,710.0
6.357774064640072,720.0
6.389284958171027,693.0
6.420795851701982,647.0
6.452306745232937,677.0
6.48381763876389,691.0
6.515328532294845,696.0
6.5468394258258,695.0
6.578350319356755,661.0
6.609861212887708,731.0
6.641372106418663,688.0
6.672882999949618,684.0
6.704393893480573,681.0
6.735904787011526,660.0
6.767415680542481,684.0
6.798926574073436,689.0
6.830437467604391,759.0
6.861948361135346,665.0
6.893459254666299,668.0
6.924970148197254,695.0
6.956481041728209,713.0
6.9879919352591635,726.0
7.019502828790117,717.0
7.051013722321072,651.0
7.0825246158520265,694.0
7.1140355093829815,703.0
7.145546402913935,748.0
7.1770572964448895,732.0
7.2085681899758445,680.0
7.240079083506799,690.0
7.271589977037753,712.0
7.3031008705687075,698.0
