#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
3.2370000000e+09, -2.5975698233e-01, -4.2923593521e-01, -5.9908714587e+00, -2.1150022704e+00, -3.5000000000e+01, 1.7513747280e+09
3.2370100000e+09, -2.6086324453e-01, -4.2924499512e-01, -5.9808120341e+00, -2.1168771822e+00, -3.5000000000e+01, 1.7513747280e+09
3.2370200000e+09, -2.6164591312e-01, -4.2726969719e-01, -6.0029517309e+00, -2.1202597042e+00, -3.5000000000e+01, 1.7513747280e+09
3.2370300000e+09, -2.6219961047e-01, -4.2715591192e-01, -5.9996167819e+00, -2.1213203747e+00, -3.5000000000e+01, 1.7513747280e+09
3.2370400000e+09, -2.6366031170e-01, -4.2466774583e-01, -6.0230421285e+00, -2.1264148838e+00, -3.5000000000e+01, 1.7513747280e+09
3.2370500000e+09, -2.6438862085e-01, -4.2644366622e-01, -5.9902095813e+00, -2.1257811249e+00, -3.5000000000e+01, 1.7513747280e+09
3.2370600000e+09, -2.6550793648e-01, -4.2584827542e-01, -5.9887318888e+00, -2.1283019525e+00, -3.5000000000e+01, 1.7513747280e+09
3.2370700000e+09, -2.6566794515e-01, -4.2433425784e-01, -6.0095131716e+00, -2.1301731692e+00, -3.5000000000e+01, 1.7513747280e+09
3.2370800000e+09, -2.6879343390e-01, -4.2447769642e-01, -5.9785692538e+00, -2.1352943575e+00, -3.5000000000e+01, 1.7513747280e+09
3.2370900000e+09, -2.6737585664e-01, -4.2441657186e-01, -5.9925609302e+00, -2.1329719659e+00, -3.5000000000e+01, 1.7513747280e+09
3.2371000000e+09, -2.6910349727e-01, -4.2297619581e-01, -5.9976335065e+00, -2.1374192329e+00, -3.5000000000e+01, 1.7513747280e+09
3.2371100000e+09, -2.7060851455e-01, -4.2273670435e-01, -5.9871099528e+00, -2.1402052072e+00, -3.5000000000e+01, 1.7513747280e+09
3.2371200000e+09, -2.7073436975e-01, -4.2193874717e-01, -5.9975669635e+00, -2.1412747751e+00, -3.5000000000e+01, 1.7513747280e+09
3.2371300000e+09, -2.7161875367e-01, -4.2140224576e-01, -5.9970970666e+00, -2.1433373174e+00, -3.5000000000e+01, 1.7513747280e+09
3.2371400000e+09, -2.7323564887e-01, -4.2058584094e-01, -5.9937538585e+00, -2.1469289021e+00, -3.5000000000e+01, 1.7513747280e+09
3.2371500000e+09, -2.7361634374e-01, -4.1940140724e-01, -6.0073577424e+00, -2.1488549708e+00, -3.5000000000e+01, 1.7513747280e+09
3.2371600000e+09, -2.7404531837e-01, -4.1920354962e-01, -6.0061627548e+00, -2.1497881909e+00, -3.5000000000e+01, 1.7513747280e+09
3.2371700000e+09, -2.7606815100e-01, -4.1990548372e-01, -5.9767973077e+00, -2.1523931362e+00, -3.5000000000e+01, 1.7513747280e+09
3.2371800000e+09, -2.7674901485e-01, -4.1871857643e-01, -5.9874551793e+00, -2.1548257557e+00, -3.5000000000e+01, 1.7513747280e+09
3.2371900000e+09, -2.7738872170e-01, -4.1975989938e-01, -5.9663429002e+00, -2.1547452579e+00, -3.5000000000e+01, 1.7513747280e+09
