#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
3.6062460000e+09, -4.6843320131e-01, -1.0322935879e-01, -6.3810987276e+00, -2.9246879625e+00, -4.2000000000e+01, 1.7513755741e+09
3.6062520000e+09, -4.6796971560e-01, -1.0328911990e-01, -6.3890651381e+00, -2.9243580466e+00, -4.2000000000e+01, 1.7513755741e+09
3.6062580000e+09, -4.6518543363e-01, -1.0297945887e-01, -6.4396982551e+00, -2.9237331860e+00, -4.2000000000e+01, 1.7513755741e+09
3.6062640000e+09, -4.6721836925e-01, -1.0071460158e-01, -6.4123462508e+00, -2.9292792320e+00, -4.2000000000e+01, 1.7513755741e+09
3.6062700000e+09, -4.6770673990e-01, -1.0356521606e-01, -6.3926396186e+00, -2.9236769153e+00, -4.2000000000e+01, 1.7513755741e+09
3.6062760000e+09, -4.7131696343e-01, -1.0249204934e-01, -6.3330758325e+00, -2.9274674643e+00, -4.2000000000e+01, 1.7513755741e+09
3.6062820000e+09, -4.6649861336e-01, -9.9550478160e-02, -6.4295893970e+00, -2.9313469714e+00, -4.2000000000e+01, 1.7513755741e+09
3.6062880000e+09, -4.6913266182e-01, -1.0048528761e-01, -6.3792723060e+00, -2.9305872417e+00, -4.2000000000e+01, 1.7513755741e+09
3.6062940000e+09, -4.6955189109e-01, -1.0090199113e-01, -6.3702735412e+00, -2.9299216659e+00, -4.2000000000e+01, 1.7513755741e+09
3.6063000000e+09, -4.7275254130e-01, -9.7596488893e-02, -6.3260672761e+00, -2.9380095739e+00, -4.2000000000e+01, 1.7513755741e+09
3.6063060000e+09, -4.6907240152e-01, -9.6958138049e-02, -6.3935017648e+00, -2.9377613807e+00, -4.2000000000e+01, 1.7513755741e+09
3.6063120000e+09, -4.6973556280e-01, -9.5625363290e-02, -6.3865808508e+00, -2.9407641232e+00, -4.2000000000e+01, 1.7513755741e+09
3.6063180000e+09, -4.6917691827e-01, -9.4518832862e-02, -6.4004924503e+00, -2.9427968155e+00, -4.2000000000e+01, 1.7513755741e+09
3.6063240000e+09, -4.7197186947e-01, -9.5125518739e-02, -6.3487474650e+00, -2.9427079923e+00, -4.2000000000e+01, 1.7513755741e+09
3.6063300000e+09, -4.7112607956e-01, -9.3038648367e-02, -6.3711061588e+00, -2.9466199716e+00, -4.2000000000e+01, 1.7513755741e+09
3.6063360000e+09, -4.7212606669e-01, -9.5173738897e-02, -6.3458490891e+00, -2.9426731021e+00, -4.2000000000e+01, 1.7513755741e+09
3.6063420000e+09, -4.6732375026e-01, -9.3109779060e-02, -6.4385760966e+00, -2.9449275682e+00, -4.2000000000e+01, 1.7513755741e+09
3.6063480000e+09, -4.7169491649e-01, -9.3204453587e-02, -6.3604379599e+00, -2.9465108707e+00, -4.2000000000e+01, 1.7513755741e+09
3.6063540000e+09, -4.6593952179e-01, -9.1092973948e-02, -6.4705077448e+00, -2.9485240218e+00, -4.2000000000e+01, 1.7513755741e+09
3.6063600000e+09, -4.6801432967e-01, -9.2168919742e-02, -6.4295651834e+00, -2.9471448738e+00, -4.2000000000e+01, 1.7513755741e+09
3.6063660000e+09, -4.6894580126e-01, -9.1180115938e-02, -6.4163872893e+00, -2.9495524236e+00, -4.2000000000e+01, 1.7513755741e+09
3.6063720000e+09, -4.6947452426e-01, -9.0801820159e-02, -6.4082632609e+00, -2.9505400427e+00, -4.2000000000e+01, 1.7513755741e+09
3.6063780000e+09, -4.7206237912e-01, -8.8670343161e-02, -6.3694239152e+00, -2.9559200649e+00, -4.2000000000e+01, 1.7513755741e+09
3.6063840000e+09, -4.7031086683e-01, -8.7479062378e-02, -6.4045876589e+00, -2.9576916022e+00, -4.2000000000e+01, 1.7513755741e+09
3.6063900000e+09, -4.7101101279e-01, -8.6762614548e-02, -6.3944610741e+00, -2.9594296245e+00, -4.2000000000e+01, 1.7513755741e+09
3.6063960000e+09, -4.7104641795e-01, -8.6464241147e-02, -6.3948081877e+00, -2.9600557266e+00, -4.2000000000e+01, 1.7513755741e+09
3.6064020000e+09, -4.7177705169e-01, -8.5535809398e-02, -6.3847999305e+00, -2.9622354024e+00, -4.2000000000e+01, 1.7513755741e+09
3.6064080000e+09, -4.6985849738e-01, -8.3147652447e-02, -6.4267408786e+00, -2.9664427829e+00, -4.2000000000e+01, 1.7513755741e+09
3.6064140000e+09, -4.7266522050e-01, -8.6060516536e-02, -6.3672877754e+00, -2.9614905722e+00, -4.2000000000e+01, 1.7513755741e+09
