Iststrom    Fellstärke
0	96
0.44	120.7
0.961	155.1
1.502	194.6
1.99	231.6
2.567	273
3.054	314.3
3.646	356
4.053	383.8
4.61	426.8
5.076	462.2
5.561	498.9
6.134	541.4
6.554	574.5
7.081	612
7.502	643.4
8.086	680.3
8.648	712
9.1	738.5
9.584	762.4
10.048	781
10.533	802.2
11.094	823
11.545	840.4
11.939	853.1
