#Frequency (Hz), S21re (), S21im (), S21dB (dB), S21Ph (rad), Power (dBm), Timestamp (s)
3.2370000000e+09, -2.5907373428e-01, -4.2966869474e-01, -5.9905745558e+00, -2.1133906473e+00, -3.8000000000e+01, 1.7513745458e+09
3.2370100000e+09, -2.6070001721e-01, -4.2889207602e-01, -5.9874957209e+00, -2.1169644433e+00, -3.8000000000e+01, 1.7513745458e+09
3.2370200000e+09, -2.6224681735e-01, -4.2571970820e-01, -6.0204146791e+00, -2.1229034595e+00, -3.8000000000e+01, 1.7513745458e+09
3.2370300000e+09, -2.6300129294e-01, -4.2817607522e-01, -5.9773099556e+00, -2.1216179922e+00, -3.8000000000e+01, 1.7513745458e+09
3.2370400000e+09, -2.6457047462e-01, -4.2591482401e-01, -5.9963304518e+00, -2.1266451517e+00, -3.8000000000e+01, 1.7513745458e+09
3.2370500000e+09, -2.6539656520e-01, -4.2637863755e-01, -5.9819623621e+00, -2.1275550692e+00, -3.8000000000e+01, 1.7513745458e+09
3.2370600000e+09, -2.6669311523e-01, -4.2471083999e-01, -5.9945421355e+00, -2.1315073279e+00, -3.8000000000e+01, 1.7513745458e+09
3.2370700000e+09, -2.6825445890e-01, -4.2651388049e-01, -5.9538084198e+00, -2.1322286206e+00, -3.8000000000e+01, 1.7513745458e+09
3.2370800000e+09, -2.6720625162e-01, -4.2439475656e-01, -5.9944458686e+00, -2.1327090105e+00, -3.8000000000e+01, 1.7513745458e+09
3.2370900000e+09, -2.6916503906e-01, -4.2198184133e-01, -6.0116021006e+00, -2.1385893790e+00, -3.8000000000e+01, 1.7513745458e+09
3.2371000000e+09, -2.7035996318e-01, -4.2303696275e-01, -5.9850505947e+00, -2.1394658105e+00, -3.8000000000e+01, 1.7513745458e+09
3.2371100000e+09, -2.7237048745e-01, -4.2331698537e-01, -5.9622260756e+00, -2.1425317592e+00, -3.8000000000e+01, 1.7513745458e+09
3.2371200000e+09, -2.7149099112e-01, -4.2237907648e-01, -5.9840744268e+00, -2.1420694498e+00, -3.8000000000e+01, 1.7513745458e+09
3.2371300000e+09, -2.7180230618e-01, -4.2259547114e-01, -5.9780152880e+00, -2.1423577867e+00, -3.8000000000e+01, 1.7513745458e+09
3.2371400000e+09, -2.7320638299e-01, -4.2029011249e-01, -5.9983255990e+00, -2.1472013360e+00, -3.8000000000e+01, 1.7513745458e+09
3.2371500000e+09, -2.7240785956e-01, -4.2090409994e-01, -5.9969294173e+00, -2.1451985296e+00, -3.8000000000e+01, 1.7513745458e+09
3.2371600000e+09, -2.7420029044e-01, -4.1927173734e-01, -6.0037024829e+00, -2.1499726376e+00, -3.8000000000e+01, 1.7513745458e+09
3.2371700000e+09, -2.7612122893e-01, -4.1774636507e-01, -6.0075047019e+00, -2.1548503958e+00, -3.8000000000e+01, 1.7513745458e+09
3.2371800000e+09, -2.7680853009e-01, -4.1908061504e-01, -5.9816620085e+00, -2.1545271493e+00, -3.8000000000e+01, 1.7513745458e+09
3.2371900000e+09, -2.7613013983e-01, -4.1766676307e-01, -6.0085713577e+00, -2.1549529080e+00, -3.8000000000e+01, 1.7513745458e+09
3.2372000000e+09, -2.7766457200e-01, -4.1789266467e-01, -5.9906175706e+00, -2.1572557573e+00, -3.8000000000e+01, 1.7513745458e+09
3.2372100000e+09, -2.7681836486e-01, -4.1714781523e-01, -6.0094839330e+00, -2.1566713074e+00, -3.8000000000e+01, 1.7513745458e+09
3.2372200000e+09, -2.7915239334e-01, -4.1516235471e-01, -6.0156372095e+00, -2.1627530636e+00, -3.8000000000e+01, 1.7513745458e+09
3.2372300000e+09, -2.8034090996e-01, -4.1790944338e-01, -5.9646884647e+00, -2.1616669858e+00, -3.8000000000e+01, 1.7513745458e+09
3.2372400000e+09, -2.8265032172e-01, -4.1536065936e-01, -5.9788366737e+00, -2.1683105193e+00, -3.8000000000e+01, 1.7513745458e+09
3.2372500000e+09, -2.8141960502e-01, -4.1418725252e-01, -6.0076239370e+00, -2.1675969206e+00, -3.8000000000e+01, 1.7513745458e+09
3.2372600000e+09, -2.8435611725e-01, -4.1413992643e-01, -5.9796179030e+00, -2.1724848191e+00, -3.8000000000e+01, 1.7513745458e+09
3.2372700000e+09, -2.8400081396e-01, -4.1354486346e-01, -5.9915851388e+00, -2.1725723688e+00, -3.8000000000e+01, 1.7513745458e+09
3.2372800000e+09, -2.8574830294e-01, -4.1248151660e-01, -5.9895618529e+00, -2.1766427663e+00, -3.8000000000e+01, 1.7513745458e+09
3.2372900000e+09, -2.8561228514e-01, -4.1246542335e-01, -5.9911315607e+00, -2.1764381717e+00, -3.8000000000e+01, 1.7513745458e+09
3.2373000000e+09, -2.8661862016e-01, -4.1092434525e-01, -6.0031061834e+00, -2.1798406492e+00, -3.8000000000e+01, 1.7513745458e+09
3.2373100000e+09, -2.8722345829e-01, -4.0993973613e-01, -6.0110922910e+00, -2.1819570615e+00, -3.8000000000e+01, 1.7513745458e+09
3.2373200000e+09, -2.8934705257e-01, -4.0962064266e-01, -5.9944338258e+00, -2.1857900832e+00, -3.8000000000e+01, 1.7513745458e+09
3.2373300000e+09, -2.8962409496e-01, -4.0894833207e-01, -6.0011721919e+00, -2.1870156867e+00, -3.8000000000e+01, 1.7513745458e+09
3.2373400000e+09, -2.8937867284e-01, -4.0839952230e-01, -6.0113993897e+00, -2.1872492498e+00, -3.8000000000e+01, 1.7513745458e+09
3.2373500000e+09, -2.9030254483e-01, -4.0970072150e-01, -5.9837504774e+00, -2.1872523119e+00, -3.8000000000e+01, 1.7513745458e+09
3.2373600000e+09, -2.9198402166e-01, -4.0681090951e-01, -6.0075943068e+00, -2.1933286605e+00, -3.8000000000e+01, 1.7513745458e+09
3.2373700000e+09, -2.9533600807e-01, -4.0787401795e-01, -5.9587717200e+00, -2.1975053883e+00, -3.8000000000e+01, 1.7513745458e+09
3.2373800000e+09, -2.9341256619e-01, -4.0793633461e-01, -5.9773347985e+00, -2.1943323030e+00, -3.8000000000e+01, 1.7513745458e+09
3.2373900000e+09, -2.9383468628e-01, -4.0636599064e-01, -5.9951012031e+00, -2.1968441681e+00, -3.8000000000e+01, 1.7513745458e+09
3.2374000000e+09, -2.9498082399e-01, -4.0629127622e-01, -5.9845077732e+00, -2.1987812055e+00, -3.8000000000e+01, 1.7513745458e+09
3.2374100000e+09, -2.9758509994e-01, -4.0426209569e-01, -5.9862576979e+00, -2.2053543899e+00, -3.8000000000e+01, 1.7513745458e+09
3.2374200000e+09, -2.9688650370e-01, -4.0481895208e-01, -5.9856502716e+00, -2.2035761193e+00, -3.8000000000e+01, 1.7513745458e+09
3.2374300000e+09, -2.9743376374e-01, -4.0529158711e-01, -5.9734644289e+00, -2.2038979526e+00, -3.8000000000e+01, 1.7513745458e+09
3.2374400000e+09, -3.0040627718e-01, -4.0406426787e-01, -5.9600171158e+00, -2.2100997260e+00, -3.8000000000e+01, 1.7513745458e+09
3.2374500000e+09, -2.9936057329e-01, -4.0314945579e-01, -5.9834750960e+00, -2.2095154702e+00, -3.8000000000e+01, 1.7513745458e+09
3.2374600000e+09, -3.0105668306e-01, -4.0192186832e-01, -5.9829570641e+00, -2.2136845484e+00, -3.8000000000e+01, 1.7513745458e+09
3.2374700000e+09, -3.0281215906e-01, -4.0232801437e-01, -5.9591405892e+00, -2.2159912461e+00, -3.8000000000e+01, 1.7513745458e+09
3.2374800000e+09, -3.0051657558e-01, -3.9940729737e-01, -6.0234428425e+00, -2.2158357037e+00, -3.8000000000e+01, 1.7513745458e+09
3.2374900000e+09, -3.0279806256e-01, -3.9854982495e-01, -6.0114263709e+00, -2.2205080230e+00, -3.8000000000e+01, 1.7513745458e+09
3.2375000000e+09, -3.0417132378e-01, -3.9907059073e-01, -5.9898303028e+00, -2.2220593777e+00, -3.8000000000e+01, 1.7513745458e+09
3.2375100000e+09, -3.0278393626e-01, -3.9953187108e-01, -5.9980089583e+00, -2.2193004800e+00, -3.8000000000e+01, 1.7513745458e+09
3.2375200000e+09, -3.0495017767e-01, -3.9807173610e-01, -5.9953848436e+00, -2.2245021469e+00, -3.8000000000e+01, 1.7513745458e+09
3.2375300000e+09, -3.0535173416e-01, -3.9579653740e-01, -6.0224316225e+00, -2.2279076553e+00, -3.8000000000e+01, 1.7513745458e+09
3.2375400000e+09, -3.0689200759e-01, -3.9625972509e-01, -5.9997262991e+00, -2.2297763541e+00, -3.8000000000e+01, 1.7513745458e+09
3.2375500000e+09, -3.0742868781e-01, -3.9604371786e-01, -5.9969860659e+00, -2.2308864765e+00, -3.8000000000e+01, 1.7513745458e+09
3.2375600000e+09, -3.0577227473e-01, -3.9537006617e-01, -6.0238292555e+00, -2.2290950362e+00, -3.8000000000e+01, 1.7513745458e+09
